stop_id,stop_name,latitude,longitude
1,Millwood Rd at McRae Dr South Side,43.704652,-79.367698
2,Bathurst St at Horsham Ave,43.768449,-79.441504
3,Royal York Rd at King Georges Rd,43.650225,-79.512691
4,Finch Ave West at Driftwood Ave,43.757924,-79.513523
5,Lawrence Ave East at Wanless Cres (West),43.727149,-79.392116
7,Kennedy Rd at Huntingwood Dr,43.79502,-79.293198
8,Shorncliffe Ave at Newbridge Rd South Side,43.625815,-79.542151
9,Warden Ave at Tower Dr,43.754307,-79.298221
10,Thirtieth St at Alhena Ave,43.602452,-79.532974
11,Birchmount Rd at Harvest Moon Dr,43.823801,-79.317854
12,Brown's Line at Woodbury Rd,43.599389,-79.544276
13,Pharmacy Ave at Huntingwood Dr,43.781783,-79.32034
14,Pharmacy Ave at Rosscowan Gate South Side,43.784997,-79.321745
16,Underhill Dr at Broadlands Blvd,43.744031,-79.326011
17,St Clair Ave East at Santamonica Blvd,43.712912,-79.276699
18,Driftwood Ave at Finch Ave West,43.757895,-79.513233
19,Rexdale Blvd at Martin Grove Rd,43.713759,-79.581288
20,Willowdale Ave at Northwood Dr,43.791424,-79.411164
21,Dovercourt Rd at Geary Ave North Side,43.671083,-79.433224
22,Drewry Ave at Marthon Cres (East),43.781792,-79.441105
23,Post Rd at Bayview Ave East Side,43.736369,-79.381338
24,Queens Quay West at Rees St West Side,43.63876,-79.387157
25,Albion Rd at Finch Ave West,43.741208,-79.588821
26,Middlefield Rd at Passmore Ave,43.827006,-79.264802
28,Eglinton Ave East at Laird Dr East Side,43.713677,-79.363762
29,Lesmill Rd at Valleybrook Dr West Side,43.757793,-79.355475
30,Huntingwood Dr at Garrybrook Dr,43.789178,-79.30715
31,Davenport Rd at Osler St,43.670383,-79.459172
32,Yonge Blvd at Dunster Ave North Side,43.739877,-79.413594
33,185 Graydon Hall Dr,43.764226,-79.342218
34,Eglinton Ave East at Beachell St,43.742332,-79.222161
35,Keele St at Greenbrook Dr South Side,43.696812,-79.475456
36,College St at Elizabeth St,43.660394,-79.387562
37,Le Page Crt at Keele St East Side,43.758093,-79.488998
40,Jones Ave at Baird Ave,43.676657,-79.338684
42,Dufferin St at Gordon St,43.646696,-79.430224
44,Evans Ave at Gair Dr,43.610092,-79.551991
45,Longbourne Dr at Redgrave Dr,43.679218,-79.57013
46,Huntingwood Rd at Ridgecrest Dr,43.78437,-79.31528
48,Elmhurst Dr at Muncey Ave,43.724247,-79.55368
50,Islington Ave at Norseman St,43.634118,-79.51889
51,McNicoll Ave at Midland Ave,43.814437,-79.292415
52,Wilson Heights Blvd at Clifton Ave,43.75896,-79.463205
53,Progress Ave at Estate Dr (West),43.781041,-79.23775
54,Steeles Ave East at Midland Ave,43.826099,-79.297089
56,Bayview Ave at Hillcrest Ave,43.772666,-79.389534
57,Willowridge Rd at Richgrove Dr,43.675751,-79.568602
58,Victoria Park Ave at Furnival Rd,43.712557,-79.297658
60,299 Norfinch Dr,43.768397,-79.531258
61,Kipling Ave at Hayhurst Rd,43.692199,-79.557813
62,Moore Ave at Orchard Green,43.696364,-79.374325
63,Islington Ave at Finch Ave West South Side,43.74577,-79.568755
64,105 Ironside Cres,43.828637,-79.246914
65,Martin Grove Rd at Finch Ave West,43.736669,-79.5914
66,Sheppard Ave West at Yatescastle Dr,43.740433,-79.506722
68,King St West at Jameson Ave,43.637264,-79.435842
69,Bayview Ave at Wilket Rd,43.74599,-79.383662
71,Trethewey Dr at Brookhaven Dr,43.696992,-79.493473
72,Hullmar Dr at Hisey Cres (South) North Side,43.770083,-79.529961
73,Davisville Ave at Forman Ave,43.701547,-79.380739
74,Warden Ave at Murray Glen Dr,43.756169,-79.299232
76,Calvington Dr at Keele St West Side,43.733493,-79.484279
77,Main St Markham North at Bullock Dr,43.88138,-79.26167
79,Moore Ave at Brendan Rd,43.695296,-79.378662
80,Pharmacy Ave at Princeway Dr,43.753264,-79.308784
81,Oakwood Ave at Highview Cres,43.676397,-79.43463
83,Weston Rd at Coral Gable Dr,43.73566,-79.538805
84,Bathurst St at Fort York Blvd,43.638947,-79.400771
85,McNicoll Ave at Warden Ave,43.80617,-79.321258
86,Queen St East at Ontario St,43.654914,-79.367262
87,South Dr at Glen Rd,43.677609,-79.375709
88,Albion Rd at Martin Grove Rd East Side,43.741652,-79.593301
89,Glencairn Ave at Danesbury Ave,43.708453,-79.446634
90,84 Davisville Ave - Salvation Army,43.699124,-79.393026
91,Sheppard Ave East at Greenbriar Rd,43.768237,-79.38048
92,Bellamy Rd North at Banmoor Blvd North Side,43.75196,-79.233248
93,McLevin Ave at Greenspire Rd,43.803144,-79.232276
94,York Mills Rd at Harrison Rd,43.7496,-79.378889
95,Warden Ave at Denison St North Side,43.82792,-79.326516
96,Lawrence Ave West at Scarlett Rd,43.698042,-79.523367
98,Sheppard Ave East at Conlins Rd East Side,43.80425,-79.189258
99,Royal York Rd at Trehorne Dr,43.690289,-79.529987
100,Avenue Rd at Lonsdale Rd South Side,43.690299,-79.403055
101,601 Milner Ave,43.793966,-79.223153
103,Wynford Dr at Don Mills Rd East Side,43.723099,-79.338338
104,Weston Rd at Fern Ave South Side,43.702116,-79.523302
105,St Clair Ave East at Victoria Park Ave West Side,43.708945,-79.296378
106,Runnymede Rd at Maher Ave South Side,43.662007,-79.480732
107,Rathburn Rd at Pheasant Lane,43.66157,-79.535378
108,McNicoll Ave at Markham Rd,43.823774,-79.24824
110,Bay St at Dundas St West,43.655825,-79.383879
111,Dundas St West at Sterling Rd,43.650631,-79.443251
112,Church St at Weston Rd,43.703403,-79.524942
114,Royal York Rd at Darlingbrook Cres South Side,43.670934,-79.521782
115,Heathrow Dr at Chesham Dr,43.726714,-79.505012
116,Horner Ave at Alderbrae Ave,43.602828,-79.540636
117,St Clair Ave East at Glen Eden Cres,43.706846,-79.305951
119,Kingston Rd at Eastwood Ave,43.690304,-79.267035
120,Markham Rd at Edward Jeffreys Ave,43.896321,-79.26493
121,Leslie St at Commissioners St North Side,43.65695,-79.326541
122,Brimley Rd at Larkhall Ave North Side,43.751108,-79.25425
123,Brimley Rd at Progress Ave,43.775111,-79.262909
125,St Regis Cres at St Regis Cres North West Side,43.755144,-79.486134
126,Canarctic Dr at Keele St,43.775507,-79.493063
127,McCowan Rd at McNicoll Ave,43.818132,-79.272206
128,Kennedy Rd at Village Green Sq,43.777387,-79.28586
129,Prince Edward Dr South at Meadowvale Dr,43.646879,-79.504626
130,Elmhurst Dr at Henley Cres West Side,43.728728,-79.571792
131,McNicoll Ave at Brahms Ave,43.799544,-79.359911
132,Foxwell St at Bruton Rd East Side,43.670048,-79.498441
133,Burnhamthorpe Rd at Old Burnhamthorpe Rd (East),43.642747,-79.575602
134,Claireport Cres (West) at Albion Rd,43.746846,-79.634653
135,Danforth Rd at Mack Ave,43.700261,-79.272824
136,1216 Lansdowne Ave,43.673282,-79.449421
137,Marlee Ave at Ridelle Ave,43.70393,-79.441849
138,St Clair Ave West at Runnymede Rd West Side,43.66887,-79.484326
139,Bay St at Harbour St South Side - Ferry Docks Terminal,43.641735,-79.377377
140,Royal York Rd at York View Dr,43.630572,-79.504255
141,Glencairn Ave at Glenmount Ave,43.711963,-79.430158
142,Opposite 3400 Keele St,43.747916,-79.48704
143,Denton Ave at Madelaine Ave,43.693522,-79.285673
144,Davenport Rd at New St,43.6747,-79.39311
145,Cosburn Ave at Donlands Ave West Side,43.690981,-79.342035
146,Leslie St at Bannatyne Dr North Side,43.758903,-79.361143
147,Woodsworth Rd at Hopperton Dr (East),43.764877,-79.371434
148,Tapscott Rd at Newgale Gate,43.818214,-79.239653
149,Kipling Ave at Goswell Rd,43.649052,-79.538342
150,McLevin Ave at Tapscott Rd,43.80495,-79.226855
151,Arleta Ave at Medal Lane,43.747718,-79.506309
152,Elmhurst Dr at Genthorn Ave,43.725054,-79.564692
153,Donlands Ave at Memorial Park Ave,43.689286,-79.340814
154,Birchmount Rd at Eglinton Ave East,43.730225,-79.278074
155,Davenport Rd at Symington Ave,43.670556,-79.453794
156,Yonge St at Blythwood Rd,43.716269,-79.400257
157,McCowan Rd at St Andrews Rd,43.760142,-79.247004
159,Davisville Ave at Acacia Rd,43.69965,-79.389801
160,Yonge St at Bloor St West - Bloor Station,43.670441,-79.386954
161,Overlea Blvd at William Morgan Dr West Side,43.708042,-79.341738
164,St Clair Ave East at Inglewood Dr,43.689714,-79.386688
165,Martin Grove Rd at Walkway to 308 Silverstone Dr,43.749189,-79.597892
166,Martin Grove Rd at Redgrave Dr (North),43.683481,-79.56738
167,Emmett Ave at Jane St,43.69001,-79.500826
169,Albion Rd at Elmhurst Dr,43.725287,-79.550901
170,Arrow Rd at Finch Ave West,43.753006,-79.535911
171,Leslie St at Castlebury Cres,43.796638,-79.369653
173,Bathurst St at Saranac Blvd,43.723161,-79.430751
