Page,Metric,Route,2019,2020,2021,2022,2023,2024,Recovery_2020_pct,Recovery_2021_pct,Recovery_2022_pct,Recovery_2023_pct,Recovery_2024_pct
6,AM Peak Vehicles,7 BATHURST,19,18,14,14,14,21,95,74,74,74,111
6,AM Peak Vehicles,8 BROADVIEW,1,1,1,1,3,4,100,100,100,300,400
6,AM Peak Vehicles,9 BELLAMY,5,4,4,5,5,5,80,80,100,100,100
6,AM Peak Vehicles,10 VAN HORNE,2,1,1,1,1,1,50,50,50,50,50
6,AM Peak Vehicles,11 BAYVIEW,13,10,9,10,10,12,77,69,77,77,92
6,AM Peak Vehicles,12 KINGSTON RD.,15,13,12,15,15,11,87,80,100,100,73
6,AM Peak Vehicles,5/13 AVENUE RD.,4,3,3,3,3,3,75,75,75,75,75
6,AM Peak Vehicles,14 GLENCAIRN,7,2,3,3,3,3,29,43,43,43,43
6,AM Peak Vehicles,15 EVANS,4,3,4,4,4,3,75,100,100,100,75
6,AM Peak Vehicles,16 MCCOWAN,8,7,8,7,7,8,88,100,88,88,100
6,AM Peak Vehicles,17 BIRCHMOUNT,14,10,12,11,11,11,71,86,79,79,79
6,AM Peak Vehicles,6/19 BAY,15,6,5,4,4,3,40,33,27,27,20
6,AM Peak Vehicles,20 CLIFFSIDE,7,4,4,6,5,4,57,57,86,71,57
6,AM Peak Vehicles,21 BRIMLEY,10,10,8,8,6,6,100,80,80,60,60
6,AM Peak Vehicles,22 COXWELL,3,3,3,3,3,3,100,100,100,100,100
6,AM Peak Vehicles,23 DAWES,6,3,4,4,4,5,50,67,67,67,83
6,AM Peak Vehicles,24 VICTORIA PARK,18,24,18,17,17,17,133,100,94,94,94
6,AM Peak Vehicles,25 DON MILLS,20,20,20,17,17,18,100,100,85,85,90
6,AM Peak Vehicles,26 DUPONT,6,3,3,4,3,4,50,50,67,50,67
6,AM Peak Vehicles,28 BAYVIEW SOUTH,,2,1,1,2,2,,,,,
6,AM Peak Vehicles,29 DUFFERIN,16,16,18,17,17,15,100,113,106,106,94
6,AM Peak Vehicles,30 HIGH PARK,1,1,1,1,1,1,100,100,100,100,100
6,AM Peak Vehicles,31 GREENWOOD,2,2,2,3,4,4,100,100,150,200,200
6,AM Peak Vehicles,32 EGLINTON WEST,46,46,36,33,31,35,100,78,72,67,76
6,AM Peak Vehicles,33 FOREST HILL,1,1,1,2,3,3,100,100,200,300,300
6,AM Peak Vehicles,34 EGLINTON EAST,29,31,22,22,22,19,107,76,76,76,66
6,AM Peak Vehicles,35 JANE,24,24,26,26,21,29,100,108,108,88,121
6,AM Peak Vehicles,36 FINCH WEST,43,37,19,41,39,40,86,44,95,91,93
6,AM Peak Vehicles,37 ISLINGTON,10,10,11,12,11,11,100,110,120,110,110
6,AM Peak Vehicles,38 HIGHLAND CREEK,9,6,6,8,15,10,67,67,89,167,111
6,AM Peak Vehicles,39 FINCH EAST,28,45,27,25,19,19,161,96,89,68,68
6,AM Peak Vehicles,40 JUNCTION-DUNDAS WEST,7,6,6,6,7,5,86,86,86,100,71
6,AM Peak Vehicles,41 KEELE,12,12,14,21,17,15,100,117,175,142,125
6,AM Peak Vehicles,42 CUMMER,14,10,10,14,13,13,71,71,100,93,93
6,AM Peak Vehicles,43 KENNEDY,15,16,15,16,15,15,107,100,107,100,100
6,AM Peak Vehicles,44 KIPLING SOUTH,8,8,7,7,7,8,100,88,88,88,100
6,AM Peak Vehicles,45 KIPLING,12,11,9,10,11,17,92,75,83,92,142
6,AM Peak Vehicles,46 MARTINGROVE,9,9,9,9,9,8,100,100,100,100,89
6,AM Peak Vehicles,47 LANSDOWNE,16,13,14,14,14,16,81,88,88,88,100
6,AM Peak Vehicles,48 RATHBURN,4,5,2,2,3,3,125,50,50,75,75
13,AM Peak Vehicles,49 BLOOR WEST,4,2,2,2,2,2,50,50,50,50,50
13,AM Peak Vehicles,50 BURNHAMTHORPE,4,3,2,4,3,3,75,50,100,75,75
13,AM Peak Vehicles,51 LESLIE,7,5,5,6,6,5,71,71,86,86,71
13,AM Peak Vehicles,52 LAWRENCE WEST,33,32,27,27,31,38,97,82,82,94,115
13,AM Peak Vehicles,53 STEELES EAST,22,22,22,21,24,24,100,100,95,109,109
13,AM Peak Vehicles,54 LAWRENCE EAST,37,35,35,35,35,36,95,95,95,95,97
13,AM Peak Vehicles,55 WARREN PARK,2,1,1,1,1,2,50,50,50,50,100
13,AM Peak Vehicles,56 LEASIDE,7,5,5,5,5,7,71,71,71,71,100
13,AM Peak Vehicles,57 MIDLAND,10,7,7,8,8,9,70,70,80,80,90
13,AM Peak Vehicles,59 MAPLE LEAF,6,6,6,6,6,8,100,100,100,100,133
13,AM Peak Vehicles,60 STEELES WEST,29,27,14,18,11,12,93,48,62,38,41
13,AM Peak Vehicles,61 AVENUE RD. NORTH,5,4,3,4,4,3,80,60,80,80,60
13,AM Peak Vehicles,62 MORTIMER,3,2,2,3,3,4,67,67,100,100,133
13,AM Peak Vehicles,63 OSSINGTON,22,13,17,18,18,17,59,77,82,82,77
13,AM Peak Vehicles,64 MAIN,3,2,3,3,3,3,67,100,100,100,100
13,AM Peak Vehicles,65 PARLIAMENT,3,3,3,7,7,6,100,100,233,233,200
13,AM Peak Vehicles,66 PRINCE EDWARD,6,6,5,5,7,7,100,83,83,117,117
13,AM Peak Vehicles,67 PHARMACY,6,6,6,6,7,7,100,100,100,117,117
13,AM Peak Vehicles,68 WARDEN,18,15,22,13,15,22,83,122,72,83,122
13,AM Peak Vehicles,69 WARDEN SOUTH,4,4,4,4,4,4,100,100,100,100,100
13,AM Peak Vehicles,70 O'CONNOR,6,6,6,6,6,5,100,100,100,100,83
13,AM Peak Vehicles,71 RUNNYMEDE,7,7,6,6,6,7,100,86,86,86,100
13,AM Peak Vehicles,72 PAPE,9,8,9,9,8,11,89,100,100,89,122
13,AM Peak Vehicles,73 ROYAL YORK,10,10,8,14,13,9,100,80,140,130,90
13,AM Peak Vehicles,74 MOUNT PLEASANT,4,3,2,3,3,3,75,50,75,75,75
13,AM Peak Vehicles,75 SHERBOURNE,10,6,12,9,9,10,60,120,90,90,100
13,AM Peak Vehicles,76 ROYAL YORK SOUTH,9,9,6,5,5,3,100,67,56,56,33
13,AM Peak Vehicles,77 SWANSEA,4,3,2,2,3,2,75,50,50,75,50
13,AM Peak Vehicles,78 ST. ANDREWS,3,3,1,2,2,4,100,33,67,67,133
13,AM Peak Vehicles,79 SCARLETT ROAD,15,11,12,12,12,10,73,80,80,80,67
13,AM Peak Vehicles,80 QUEENSWAY,3,3,3,3,4,8,100,100,100,133,267
13,AM Peak Vehicles,81 THORNCLIFFE PARK,6,5,6,5,5,0,83,100,83,83,0
13,AM Peak Vehicles,82 ROSEDALE,1,1,1,1,1,1,100,100,100,100,100
13,AM Peak Vehicles,83 JONES,3,3,3,3,3,3,100,100,100,100,100
13,AM Peak Vehicles,84 SHEPPARD WEST,20,20,20,22,19,19,100,100,110,95,95
13,AM Peak Vehicles,85 SHEPPARD EAST,19,20,18,18,17,17,105,95,95,89,89
13,AM Peak Vehicles,86 SCARBOROUGH,19,14,13,13,14,14,74,68,68,74,74
