Page,Metric,Route,2019,2020,2021,2022,2023,2024,Recovery_2020_pct,Recovery_2021_pct,Recovery_2022_pct,Recovery_2023_pct,Recovery_2024_pct
5,Kilometres/Vehicle Hour,7 BATHURST,14.1,14.5,15.3,15.1,13.9,14.4,103,108,107,98,102
5,Kilometres/Vehicle Hour,8 BROADVIEW,16.7,16.7,18.4,16.9,15.8,15.3,100,111,102,95,92
5,Kilometres/Vehicle Hour,9 BELLAMY,20.5,22.0,21.6,20.4,19.2,18.8,107,105,100,94,92
5,Kilometres/Vehicle Hour,10 VAN HORNE,18.5,18.7,16.9,17.6,17.8,17.7,101,91,95,96,95
5,Kilometres/Vehicle Hour,11 BAYVIEW,15.5,15.7,15.7,15.6,14.9,15.5,101,101,101,96,100
5,Kilometres/Vehicle Hour,12 KINGSTON RD.,17.1,17.1,17.6,17.3,17.0,17.8,100,103,101,100,104
5,Kilometres/Vehicle Hour,5/13 AVENUE RD.,14.7,14.5,14.5,14.8,13.5,12.6,98,98,100,92,85
5,Kilometres/Vehicle Hour,14 GLENCAIRN,14.5,18.5,15.1,15.2,13.5,14.3,128,105,105,93,99
5,Kilometres/Vehicle Hour,15 EVANS,20.9,22.9,21.3,21.3,20.4,21.3,110,102,102,98,102
5,Kilometres/Vehicle Hour,16 MCCOWAN,17.2,17.3,16.9,17.0,16.5,15.9,100,98,98,96,92
5,Kilometres/Vehicle Hour,17 BIRCHMOUNT,19.8,21.8,20.3,20.5,20.2,18.4,110,103,103,102,93
5,Kilometres/Vehicle Hour,6/19 BAY,11.0,11.8,12.0,11.8,10.2,9.3,107,109,107,92,84
5,Kilometres/Vehicle Hour,20 CLIFFSIDE,16.1,16.8,16.6,17.4,16.1,16.3,105,103,108,100,101
5,Kilometres/Vehicle Hour,21 BRIMLEY,18.8,17.6,18.1,18.4,17.7,18.1,94,96,98,94,96
5,Kilometres/Vehicle Hour,22 COXWELL,13.6,14.4,17.4,14.8,13.8,11.7,106,128,109,101,86
5,Kilometres/Vehicle Hour,23 DAWES,15.2,15.9,13.9,13.9,13.6,12.2,105,91,91,90,80
5,Kilometres/Vehicle Hour,24 VICTORIA PARK,17.8,18.0,17.7,17.8,16.4,17.5,101,100,100,92,98
5,Kilometres/Vehicle Hour,25 DON MILLS,18.5,18.7,18.7,18.5,15.9,18.0,101,101,100,86,97
5,Kilometres/Vehicle Hour,26 DUPONT,15.5,16.9,17.5,14.4,13.7,14.2,109,113,93,88,92
5,Kilometres/Vehicle Hour,28 BAYVIEW SOUTH,,16.8,21.0,21.4,15.4,15.4,,,,,
5,Kilometres/Vehicle Hour,29 DUFFERIN,14.1,14.0,13.9,14.5,12.6,14.0,100,99,103,89,100
5,Kilometres/Vehicle Hour,30 HIGH PARK,16.1,16.1,16.1,14.9,14.3,14.3,100,100,93,89,89
5,Kilometres/Vehicle Hour,31 GREENWOOD,13.4,13.6,13.1,14.7,13.5,15.0,101,98,110,101,112
5,Kilometres/Vehicle Hour,32 EGLINTON WEST,14.1,13.3,14.4,14.3,13.1,14.9,95,102,101,93,106
5,Kilometres/Vehicle Hour,33 FOREST HILL,14.9,14.9,14.9,12.9,15.5,14.2,100,100,87,104,95
5,Kilometres/Vehicle Hour,34 EGLINTON EAST,13.6,13.8,14.6,14.2,12.8,14.5,101,107,104,94,107
5,Kilometres/Vehicle Hour,35 JANE,18.3,18.2,17.8,17.8,15.9,16.7,100,97,98,87,91
5,Kilometres/Vehicle Hour,36 FINCH WEST,16.2,16.8,14.5,14.4,13.2,15.4,104,90,89,82,95
5,Kilometres/Vehicle Hour,37 ISLINGTON,22.0,20.8,23.6,20.3,18.7,20.2,94,107,92,85,92
5,Kilometres/Vehicle Hour,38 HIGHLAND CREEK,21.3,22.1,21.8,20.4,17.5,19.9,104,102,96,82,93
5,Kilometres/Vehicle Hour,39 FINCH EAST,21.0,21.2,21.3,19.8,18.2,18.4,101,101,94,86,88
5,Kilometres/Vehicle Hour,40 JUNCTION-DUNDAS WEST,15.8,18.4,16.4,16.5,12.1,16.5,117,104,104,77,104
5,Kilometres/Vehicle Hour,41 KEELE,15.6,15.1,15.1,15.2,14.4,15.4,97,97,98,92,99
5,Kilometres/Vehicle Hour,42 CUMMER,19.5,19.7,18.8,18.3,18.3,18.5,101,96,94,94,95
5,Kilometres/Vehicle Hour,43 KENNEDY,17.5,18.1,17.1,17.3,16.7,17.5,103,98,99,96,100
5,Kilometres/Vehicle Hour,44 KIPLING SOUTH,19.3,19.3,20.0,17.3,16.4,17.2,100,103,90,85,89
5,Kilometres/Vehicle Hour,45 KIPLING,23.2,20.5,21.7,20.5,19.8,20.5,88,93,88,85,88
5,Kilometres/Vehicle Hour,46 MARTINGROVE,21.5,21.5,21.9,21.8,22.4,21.5,100,102,102,104,100
5,Kilometres/Vehicle Hour,47 LANSDOWNE,13.8,16.5,15.9,15.7,15.2,15.1,119,115,114,110,109
5,Kilometres/Vehicle Hour,48 RATHBURN,22.7,23.7,23.8,23.8,21.6,20.5,104,105,105,95,90
12,Kilometres/Vehicle Hour,49 BLOOR WEST,20.2,23.0,20.2,20.2,21.6,19.5,113,100,100,107,96
12,Kilometres/Vehicle Hour,50 BURNHAMTHORPE,18.4,21.5,22.3,18.4,19.3,18.9,116,121,100,104,103
12,Kilometres/Vehicle Hour,51 LESLIE,18.2,18.2,18.4,19.5,20.0,19.6,100,101,107,110,108
12,Kilometres/Vehicle Hour,52 LAWRENCE WEST,18.6,16.5,18.8,18.3,16.6,17.6,89,101,98,89,94
12,Kilometres/Vehicle Hour,53 STEELES EAST,20.7,19.2,19.3,19.3,16.0,18.7,93,93,93,77,90
12,Kilometres/Vehicle Hour,54 LAWRENCE EAST,19.1,16.8,18.2,17.9,16.8,18.4,88,96,94,88,96
12,Kilometres/Vehicle Hour,55 WARREN PARK,17.6,17.4,17.4,17.0,18.1,15.1,99,99,97,103,86
12,Kilometres/Vehicle Hour,56 LEASIDE,13.8,14.2,15.5,15.3,15.8,14.9,103,113,111,115,108
12,Kilometres/Vehicle Hour,57 MIDLAND,19.3,22.0,22.9,21.2,17.1,18.1,114,119,110,89,94
12,Kilometres/Vehicle Hour,59 MAPLE LEAF,17.9,17.9,18.2,18.2,17.0,16.0,100,102,101,95,89
12,Kilometres/Vehicle Hour,60 STEELES WEST,16.2,18.4,18.7,17.5,20.1,17.4,113,115,108,124,107
12,Kilometres/Vehicle Hour,61 AVENUE RD. NORTH,13.2,13.6,14.2,13.7,12.5,14.4,103,108,104,95,110
12,Kilometres/Vehicle Hour,62 MORTIMER,17.5,17.7,17.7,15.8,15.8,14.7,101,101,90,91,84
