Page,Metric,Route,2019,2020,2021,2022,2023,2024,Recovery_2020_pct,Recovery_2021_pct,Recovery_2022_pct,Recovery_2023_pct,Recovery_2024_pct
4,Passengers/Vehicle hour,7 BATHURST,68.8,39.5,58.4,69.5,69.3,63.6,57,85,101,101,93
4,Passengers/Vehicle hour,8 BROADVIEW,39.4,22.3,28.2,30.5,22.6,30.3,57,72,77,57,77
4,Passengers/Vehicle hour,9 BELLAMY,63.0,29.8,39.6,50.9,63.2,63.9,47,63,81,100,102
4,Passengers/Vehicle hour,10 VAN HORNE,46.5,17.1,33.4,37.3,49.9,52.0,37,72,80,107,112
4,Passengers/Vehicle hour,11 BAYVIEW,52.0,19.3,33.3,39.7,49.4,41.6,37,64,76,95,80
4,Passengers/Vehicle hour,12 KINGSTON RD.,55.0,26.1,43.1,45.2,54.4,51.5,47,78,82,99,94
4,Passengers/Vehicle hour,5/13 AVENUE RD.,43.6,17.6,22.5,25.9,26.7,24.7,40,52,59,61,57
4,Passengers/Vehicle hour,14 GLENCAIRN,33.0,28.9,33.8,39.9,44.2,42.9,88,102,121,134,130
4,Passengers/Vehicle hour,15 EVANS,38.1,15.3,26.5,29.8,50.3,39.1,40,70,78,132,103
4,Passengers/Vehicle hour,16 MCCOWAN,87.1,44.2,66.9,77.2,84.9,84.7,51,77,89,97,97
4,Passengers/Vehicle hour,17 BIRCHMOUNT,63.2,34.1,50.5,55.0,59.4,58.4,54,80,87,94,92
4,Passengers/Vehicle hour,6/19 BAY,49.6,22.6,31.8,45.7,39.8,13.4,46,64,92,80,27
4,Passengers/Vehicle hour,20 CLIFFSIDE,73.7,34.8,51.6,54.3,70.0,61.2,47,70,74,95,83
4,Passengers/Vehicle hour,21 BRIMLEY,70.5,30.1,45.0,57.4,70.2,60.5,43,64,81,100,86
4,Passengers/Vehicle hour,22 COXWELL,84.4,40.9,52.1,69.0,89.9,77.9,48,62,82,107,92
4,Passengers/Vehicle hour,23 DAWES,75.3,41.7,59.3,68.2,73.5,66.9,55,79,91,98,89
4,Passengers/Vehicle hour,24 VICTORIA PARK,71.3,29.9,46.2,63.2,72.8,66.7,42,65,89,102,94
4,Passengers/Vehicle hour,25 DON MILLS,78.4,44.4,49.9,66.7,71.8,56.8,57,64,85,92,72
4,Passengers/Vehicle hour,26 DUPONT,43.7,16.8,20.7,23.8,27.0,28.3,38,47,54,62,65
4,Passengers/Vehicle hour,28 BAYVIEW SOUTH,,15.3,25.0,23.3,29.5,33.8,,,,,
4,Passengers/Vehicle hour,29 DUFFERIN,78.1,65.2,58.9,70.0,64.0,65.8,84,75,90,82,84
4,Passengers/Vehicle hour,30 HIGH PARK,27.7,13.0,20.8,18.4,27.6,28.1,47,75,66,99,101
4,Passengers/Vehicle hour,31 GREENWOOD,60.2,27.3,51.6,41.5,40.8,41.4,45,86,69,68,69
4,Passengers/Vehicle hour,32 EGLINTON WEST,60.2,23.1,41.4,51.5,58.5,56.5,38,69,86,97,94
4,Passengers/Vehicle hour,33 FOREST HILL,49.4,16.7,28.7,23.3,32.6,33.6,34,58,47,66,68
4,Passengers/Vehicle hour,34 EGLINTON EAST,47.0,22.8,38.0,46.9,50.6,51.4,49,81,100,108,109
4,Passengers/Vehicle hour,35 JANE,78.7,66.0,49.1,59.4,72.9,50.8,84,62,76,93,65
4,Passengers/Vehicle hour,36 FINCH WEST,86.5,50.7,42.2,51.3,52.5,60.0,59,49,59,61,69
4,Passengers/Vehicle hour,37 ISLINGTON,55.0,32.9,35.4,47.1,52.9,48.9,60,64,86,96,89
4,Passengers/Vehicle hour,38 HIGHLAND CREEK,63.5,27.1,34.2,51.5,30.5,39.1,43,54,81,48,62
4,Passengers/Vehicle hour,39 FINCH EAST,53.5,27.7,31.4,41.5,56.0,53.1,52,59,78,105,99
4,Passengers/Vehicle hour,40 JUNCTION-DUNDAS WEST,56.3,35.9,32.0,34.2,31.1,48.1,64,57,61,55,85
4,Passengers/Vehicle hour,41 KEELE,69.9,59.7,67.7,57.4,73.5,65.6,85,97,82,105,94
4,Passengers/Vehicle hour,42 CUMMER,42.8,17.7,29.2,31.3,43.4,48.4,41,68,73,101,113
4,Passengers/Vehicle hour,43 KENNEDY,66.5,32.3,42.3,50.7,71.8,62.0,49,64,76,108,93
4,Passengers/Vehicle hour,44 KIPLING SOUTH,66.0,42.7,52.3,56.9,65.3,60.6,65,79,86,99,92
4,Passengers/Vehicle hour,45 KIPLING,48.7,31.3,40.3,51.0,51.2,47.1,64,83,105,105,97
4,Passengers/Vehicle hour,46 MARTINGROVE,49.2,31.2,41.6,44.7,48.8,45.7,63,84,91,99,93
4,Passengers/Vehicle hour,47 LANSDOWNE,60.6,31.6,49.9,66.7,73.0,26.7,52,82,110,120,44
4,Passengers/Vehicle hour,48 RATHBURN,51.4,19.3,36.9,47.6,38.5,55.6,38,72,93,75,108
11,Passengers/Vehicle hour,49 BLOOR WEST,46.3,24.4,37.7,54.7,61.1,49.7,53,81,118,132,108
11,Passengers/Vehicle hour,50 BURNHAMTHORPE,50.0,27.3,38.6,40.3,62.1,57.1,54,77,81,124,114
11,Passengers/Vehicle hour,51 LESLIE,26.7,11.3,16.2,21.7,29.7,31.1,42,61,81,111,117
11,Passengers/Vehicle hour,52 LAWRENCE WEST,62.9,35.6,47.5,60.1,55.8,49.3,57,76,96,89,78
11,Passengers/Vehicle hour,53 STEELES EAST,49.6,23.6,29.7,38.4,40.3,38.3,48,60,78,81,77
11,Passengers/Vehicle hour,54 LAWRENCE EAST,57.6,32.6,38.2,47.4,50.7,41.1,57,66,82,88,71
11,Passengers/Vehicle hour,55 WARREN PARK,58.4,18.2,33.4,33.0,39.3,27.6,31,57,56,67,47
11,Passengers/Vehicle hour,56 LEASIDE,43.1,21.9,27.7,33.8,50.2,47.9,51,64,78,117,111
11,Passengers/Vehicle hour,57 MIDLAND,81.0,43.7,53.3,52.5,75.1,66.3,54,66,65,93,82
11,Passengers/Vehicle hour,59 MAPLE LEAF,45.0,24.8,26.7,29.2,40.9,30.9,55,59,65,91,69
11,Passengers/Vehicle hour,60 STEELES WEST,67.3,40.5,54.4,69.4,80.9,81.0,60,81,103,120,120
11,Passengers/Vehicle hour,61 AVENUE RD. NORTH,54.1,23.5,33.7,40.0,34.1,36.6,43,62,74,63,68
11,Passengers/Vehicle hour,62 MORTIMER,49.9,23.9,33.7,31.1,24.5,31.2,48,68,62,49,63
11,Passengers/Vehicle hour,63 OSSINGTON,67.9,31.9,46.4,54.0,66.7,23.8,47,68,80,98,35
11,Passengers/Vehicle hour,64 MAIN,99.4,69.4,71.4,78.8,92.8,96.7,70,72,79,93,97
11,Passengers/Vehicle hour,65 PARLIAMENT,69.9,44.9,54.5,51.1,78.0,79.1,64,78,73,112,113
11,Passengers/Vehicle hour,66 PRINCE EDWARD,51.3,31.4,54.2,62.8,51.5,45.3,61,105,122,100,88
11,Passengers/Vehicle hour,67 PHARMACY,64.4,35.3,50.4,63.1,64.9,67.0,55,78,98,101,104
11,Passengers/Vehicle hour,68 WARDEN,70.4,30.5,41.5,64.3,62.4,48.5,43,59,91,89,69
11,Passengers/Vehicle hour,69 WARDEN SOUTH,63.8,35.6,51.6,56.2,74.4,43.5,56,81,88,117,68
11,Passengers/Vehicle hour,70 O'CONNOR,63.0,37.3,45.6,52.9,55.0,62.1,59,72,84,87,99
11,Passengers/Vehicle hour,71 RUNNYMEDE,57.8,24.5,28.8,36.8,45.6,42.4,42,50,64,79,73
11,Passengers/Vehicle hour,72 PAPE,61.1,27.4,41.6,51.0,71.4,61.1,45,68,83,117,100
11,Passengers/Vehicle hour,73 ROYAL YORK,53.1,28.0,35.7,37.8,51.8,47.7,53,67,71,98,90
11,Passengers/Vehicle hour,74 MOUNT PLEASANT,34.5,16.2,31.9,28.4,32.5,34.9,47,92,82,94,101
11,Passengers/Vehicle hour,75 SHERBOURNE,72.1,38.6,29.8,56.9,68.8,62.2,54,41,79,95,86
11,Passengers/Vehicle hour,76 ROYAL YORK SOUTH,59.2,36.1,54.8,67.1,66.0,65.4,61,92,113,111,110
11,Passengers/Vehicle hour,77 SWANSEA,25.7,21.8,48.4,46.4,54.1,50.8,84,188,180,210,197
11,Passengers/Vehicle hour,78 ST. ANDREWS,42.2,20.5,36.3,37.7,48.8,48.3,49,86,89,116,114
11,Passengers/Vehicle hour,79 SCARLETT ROAD,39.6,23.8,35.7,39.1,44.9,43.9,60,90,99,113,111
11,Passengers/Vehicle hour,80 QUEENSWAY,37.1,18.9,24.0,36.0,34.0,30.3,51,65,97,92,82
11,Passengers/Vehicle hour,81 THORNCLIFFE PARK,89.7,47.7,70.9,82.5,80.7,#DIV/0!,53,79,92,90,#DIV/0!
11,Passengers/Vehicle hour,82 ROSEDALE,40.3,15.6,31.8,32.5,39.3,50.9,39,79,81,98,126
11,Passengers/Vehicle hour,83 JONES,55.7,28.1,41.6,43.0,48.5,56.0,50,75,77,87,100
11,Passengers/Vehicle hour,84 SHEPPARD WEST,73.0,45.3,46.1,57.9,65.1,64.1,62,63,79,89,88
11,Passengers/Vehicle hour,85 SHEPPARD EAST,63.6,36.5,38.8,52.0,58.8,55.8,57,61,82,92,88
11,Passengers/Vehicle hour,86 SCARBOROUGH,47.9,31.8,36.7,50.1,55.4,52.3,66,77,105,116,109
11,Passengers/Vehicle hour,87 COSBURN,71.4,43.7,59.5,60.9,51.2,72.0,61,83,85,72,101
11,Passengers/Vehicle hour,88 SOUTH LEASIDE,40.2,15.6,27.7,31.9,35.8,33.8,39,69,79,89,84
11,Passengers/Vehicle hour,89 WESTON ROAD,68.6,43.0,57.4,61.5,71.6,63.8,63,84,90,104,93
11,Passengers/Vehicle hour,90 VAUGHAN,69.2,36.8,44.8,49.6,37.5,61.1,53,65,72,54,88
18,Passengers/Vehicle hour,91 WOODBINE,49.1,26.6,33.8,39.8,46.1,41.4,54,69,81,94,84
18,Passengers/Vehicle hour,92 WOODBINE SOUTH,77.0,29.5,52.0,60.1,71.3,69.0,38,67,78,93,90
18,Passengers/Vehicle hour,93 PARKVIEW HILLS,43.7,17.7,29.4,29.3,36.9,36.1,40,67,67,84,83
18,Passengers/Vehicle hour,94 WELLESLEY,65.2,33.0,44.0,44.2,55.5,59.4,51,67,68,85,91
18,Passengers/Vehicle hour,95 YORK MILLS,60.4,24.6,35.9,47.7,64.0,60.2,41,59,79,106,100
18,Passengers/Vehicle hour,96 WILSON,60.0,37.5,41.0,49.6,56.4,47.3,62,68,83,94,79
18,Passengers/Vehicle hour,97 YONGE,32.8,13.9,18.7,23.6,21.2,31.3,42,57,72,65,95
18,Passengers/Vehicle hour,98 WILLOWDALE-SENLAC,28.1,13.9,16.2,28.4,37.4,33.1,50,58,101,133,118
18,Passengers/Vehicle hour,99 ARROW ROAD,79.8,53.0,40.5,39.4,10.2,11.7,66,51,49,13,15
18,Passengers/Vehicle hour,100 FLEMINGDON PARK,66.4,30.6,43.7,49.0,40.6,47.9,46,66,74,61,72
18,Passengers/Vehicle hour,101 PARC DOWNSVIEW PARK,21.4,12.7,16.4,20.8,46.5,47.9,59,76,97,217,224
18,Passengers/Vehicle hour,102 MARKHAM ROAD,64.5,36.5,41.0,51.6,49.3,50.9,57,64,80,76,79
18,Passengers/Vehicle hour,104 FAYWOOD,51.6,26.2,29.2,32.8,36.7,58.3,51,57,64,71,113
18,Passengers/Vehicle hour,105 DUFFERIN NORTH,63.1,33.9,44.4,47.9,56.3,48.9,54,70,76,89,78
18,Passengers/Vehicle hour,106 SENTINEL,51.8,28.6,40.4,49.1,50.0,48.5,55,78,95,97,94
18,Passengers/Vehicle hour,107 YORK UNIVERSITY HEIGHTS,25.5,18.2,19.2,19.8,19.7,23.5,71,75,78,77,92
18,Passengers/Vehicle hour,108 DRIFTWOOD,56.2,30.2,37.0,48.0,52.2,50.5,54,66,85,93,90
18,Passengers/Vehicle hour,109 RANEE,67.8,25.3,37.8,44.2,61.8,55.7,37,56,65,91,82
18,Passengers/Vehicle hour,110 ISLINGTON SOUTH,58.6,30.4,35.9,46.5,58.1,56.6,52,61,79,99,97
18,Passengers/Vehicle hour,111 EAST MALL,58.4,35.1,45.1,52.8,54.9,53.0,60,77,91,94,91
18,Passengers/Vehicle hour,112 WEST MALL,,21.1,29.7,36.6,36.1,40.1,,,,,
18,Passengers/Vehicle hour,113 DANFORTH RD.,77.8,37.8,53.8,55.8,72.2,67.2,49,69,72,93,86
18,Passengers/Vehicle hour,114 QUEENS QUAY EAST,,,,,,28.5,,,,,
18,Passengers/Vehicle hour,115 SILVER HILLS,26.8,9.8,17.5,20.2,27.0,25.3,36,65,75,101,94
18,Passengers/Vehicle hour,116 MORNINGSIDE,56.2,32.9,42.8,56.1,64.2,64.4,59,76,100,114,115
18,Passengers/Vehicle hour,117 ALNESS-CHESSWOOD,23.2,16.2,,,,,70,,,,
18,Passengers/Vehicle hour,117 BIRCHMOUNT SOUTH,,,,,,54.0,,,,,
18,Passengers/Vehicle hour,118 THISTLE DOWN,51.6,33.1,41.1,40.0,44.2,39.1,64,80,77,86,76
18,Passengers/Vehicle hour,119 TORBARRIE,64.8,41.9,48.0,55.2,54.4,50.9,65,74,85,84,79
18,Passengers/Vehicle hour,120 CALVINGTON,35.0,19.7,25.9,27.2,36.4,36.7,56,74,78,104,105
18,Passengers/Vehicle hour,121 ESPLANADE-RIVER,12.4,4.1,7.4,12.6,17.5,25.5,33,60,101,142,206
18,Passengers/Vehicle hour,122 GRAYDON HALL,54.4,19.5,32.2,40.7,47.1,41.2,36,59,75,87,76
18,Passengers/Vehicle hour,123 SHERWAY,51.1,29.3,41.2,43.2,47.2,58.5,57,81,84,92,114
18,Passengers/Vehicle hour,124 SUNNYBROOK,43.8,23.8,55.0,37.9,34.7,,54,125,87,79,0
18,Passengers/Vehicle hour,125 DREWRY,59.4,33.9,49.5,60.9,71.7,67.4,57,83,103,121,113
18,Passengers/Vehicle hour,126 CHRISTIE,69.2,32.2,42.6,42.4,53.1,67.0,47,62,61,77,97
18,Passengers/Vehicle hour,127 DAVENPORT,30.7,16.2,20.1,24.9,22.5,25.4,53,66,81,73,83
18,Passengers/Vehicle hour,128 STANLEY GREENE,,,,,,25.9,,,,,
18,Passengers/Vehicle hour,129 MCCOWAN NORTH,64.5,27.5,37.8,64.6,33.7,41.3,43,59,100,52,64
18,Passengers/Vehicle hour,130 MIDDLEFIELD,48.6,20.6,25.0,38.5,43.7,38.3,42,52,79,90,79
