Page,Metric,Route,2019,2020,2021,2022,2023,2024,Recovery_2020_pct,Recovery_2021_pct,Recovery_2022_pct,Recovery_2023_pct,Recovery_2024_pct
7,PM Peak Vehicles,7 BATHURST,22,21,15,15,15,17,95,68,68,68,77
7,PM Peak Vehicles,8 BROADVIEW,1,1,1,1,4,4,100,100,100,400,400
7,PM Peak Vehicles,9 BELLAMY,5,4,4,5,5,5,80,80,100,100,100
7,PM Peak Vehicles,10 VAN HORNE,3,2,1,1,1,1,67,33,33,33,33
7,PM Peak Vehicles,11 BAYVIEW,13,11,10,10,10,12,85,77,77,77,92
7,PM Peak Vehicles,12 KINGSTON RD.,13,12,11,13,13,12,92,85,100,100,92
7,PM Peak Vehicles,5/13 AVENUE RD.,3,2,2,2,2,3,67,67,67,67,100
7,PM Peak Vehicles,14 GLENCAIRN,7,2,3,3,3,3,29,43,43,43,43
7,PM Peak Vehicles,15 EVANS,4,3,4,4,4,4,75,100,100,100,100
7,PM Peak Vehicles,16 MCCOWAN,9,10,9,10,10,8,111,100,111,111,89
7,PM Peak Vehicles,17 BIRCHMOUNT,12,11,12,13,13,12,92,100,108,108,100
7,PM Peak Vehicles,6/19 BAY,13,9,8,7,8,4,69,62,54,62,31
7,PM Peak Vehicles,20 CLIFFSIDE,6,4,4,6,6,6,67,67,100,100,100
7,PM Peak Vehicles,21 BRIMLEY,10,10,9,9,7,7,100,90,90,70,70
7,PM Peak Vehicles,22 COXWELL,3,3,4,3,3,3,100,133,100,100,100
7,PM Peak Vehicles,23 DAWES,5,3,4,4,4,5,60,80,80,80,100
7,PM Peak Vehicles,24 VICTORIA PARK,18,28,18,20,18,23,156,100,111,100,128
7,PM Peak Vehicles,25 DON MILLS,24,25,25,19,24,24,104,104,79,100,100
7,PM Peak Vehicles,26 DUPONT,5,3,3,4,3,4,60,60,80,60,80
7,PM Peak Vehicles,28 BAYVIEW SOUTH,,2,1,1,2,2,,,,,
7,PM Peak Vehicles,29 DUFFERIN,20,20,20,19,20,18,100,100,95,100,90
7,PM Peak Vehicles,30 HIGH PARK,1,1,1,1,1,1,100,100,100,100,100
7,PM Peak Vehicles,31 GREENWOOD,3,3,2,4,4,4,100,67,133,133,133
7,PM Peak Vehicles,32 EGLINTON WEST,41,47,37,37,34,34,115,90,90,83,83
7,PM Peak Vehicles,33 FOREST HILL,1,1,1,2,3,3,100,100,200,300,300
7,PM Peak Vehicles,34 EGLINTON EAST,32,34,24,24,24,25,106,75,75,75,78
7,PM Peak Vehicles,35 JANE,26,29,28,28,26,29,112,108,108,100,112
7,PM Peak Vehicles,36 FINCH WEST,40,32,29,50,43,43,80,73,125,108,108
7,PM Peak Vehicles,37 ISLINGTON,13,11,10,12,13,14,85,77,92,100,108
7,PM Peak Vehicles,38 HIGHLAND CREEK,10,7,7,10,18,11,70,70,100,180,110
7,PM Peak Vehicles,39 FINCH EAST,23,39,22,23,20,20,170,96,100,87,87
7,PM Peak Vehicles,40 JUNCTION-DUNDAS WEST,7,5,6,6,7,5,71,86,86,100,71
7,PM Peak Vehicles,41 KEELE,12,11,14,21,17,17,92,117,175,142,142
7,PM Peak Vehicles,42 CUMMER,13,8,8,13,13,13,62,62,100,100,100
7,PM Peak Vehicles,43 KENNEDY,15,20,17,17,17,18,133,113,113,113,120
7,PM Peak Vehicles,44 KIPLING SOUTH,8,8,7,7,7,8,100,88,88,88,100
7,PM Peak Vehicles,45 KIPLING,16,15,11,11,11,12,94,69,69,69,75
7,PM Peak Vehicles,46 MARTINGROVE,9,9,9,9,10,10,100,100,100,111,111
7,PM Peak Vehicles,47 LANSDOWNE,14,16,14,14,14,15,114,100,100,100,107
7,PM Peak Vehicles,48 RATHBURN,3,2,2,2,2,2,67,67,67,67,67
14,PM Peak Vehicles,49 BLOOR WEST,3,2,2,2,2,2,67,67,67,67,67
14,PM Peak Vehicles,50 BURNHAMTHORPE,3,2,2,3,2,2,67,67,100,67,67
14,PM Peak Vehicles,51 LESLIE,7,5,5,6,6,5,71,71,86,86,71
14,PM Peak Vehicles,52 LAWRENCE WEST,40,43,35,34,36,41,108,88,85,90,103
14,PM Peak Vehicles,53 STEELES EAST,25,24,22,21,31,34,96,88,84,124,136
14,PM Peak Vehicles,54 LAWRENCE EAST,34,35,35,35,41,36,103,103,103,121,106
14,PM Peak Vehicles,55 WARREN PARK,2,1,1,1,1,2,50,50,50,50,100
14,PM Peak Vehicles,56 LEASIDE,7,5,5,5,6,6,71,71,71,86,86
14,PM Peak Vehicles,57 MIDLAND,11,5,5,8,7,8,45,45,73,64,73
14,PM Peak Vehicles,59 MAPLE LEAF,6,6,6,6,6,8,100,100,100,100,133
14,PM Peak Vehicles,60 STEELES WEST,30,28,14,17,10,11,93,47,57,33,37
14,PM Peak Vehicles,61 AVENUE RD. NORTH,5,4,3,4,4,3,80,60,80,80,60
14,PM Peak Vehicles,62 MORTIMER,3,2,2,3,3,4,67,67,100,100,133
14,PM Peak Vehicles,63 OSSINGTON,21,12,21,20,20,19,57,100,95,95,90
14,PM Peak Vehicles,64 MAIN,3,2,3,3,3,3,67,100,100,100,100
14,PM Peak Vehicles,65 PARLIAMENT,4,3,4,6,6,6,75,100,150,150,150
14,PM Peak Vehicles,66 PRINCE EDWARD,7,6,5,5,7,7,86,71,71,100,100
14,PM Peak Vehicles,67 PHARMACY,6,6,6,6,7,8,100,100,100,117,133
14,PM Peak Vehicles,68 WARDEN,15,18,19,10,14,12,120,127,67,93,80
14,PM Peak Vehicles,69 WARDEN SOUTH,4,4,4,4,4,4,100,100,100,100,100
14,PM Peak Vehicles,70 O'CONNOR,6,6,8,8,8,6,100,133,133,133,100
14,PM Peak Vehicles,71 RUNNYMEDE,7,7,6,6,7,7,100,86,86,100,100
14,PM Peak Vehicles,72 PAPE,9,8,9,9,9,12,89,100,100,100,133
14,PM Peak Vehicles,73 ROYAL YORK,9,9,8,12,11,10,100,89,133,122,111
14,PM Peak Vehicles,74 MOUNT PLEASANT,4,3,2,3,3,3,75,50,75,75,75
14,PM Peak Vehicles,75 SHERBOURNE,9,5,11,8,8,9,56,122,89,89,100
14,PM Peak Vehicles,76 ROYAL YORK SOUTH,9,6,5,5,5,3,67,56,56,56,33
14,PM Peak Vehicles,77 SWANSEA,4,3,2,2,2,3,75,50,50,50,75
14,PM Peak Vehicles,78 ST. ANDREWS,2,2,1,2,2,5,100,50,100,100,250
14,PM Peak Vehicles,79 SCARLETT ROAD,10,8,8,8,8,8,80,80,80,80,80
14,PM Peak Vehicles,80 QUEENSWAY,3,3,3,3,4,7,100,100,100,133,233
14,PM Peak Vehicles,81 THORNCLIFFE PARK,4,4,4,5,5,0,100,100,125,125,0
14,PM Peak Vehicles,82 ROSEDALE,1,1,1,1,1,1,100,100,100,100,100
14,PM Peak Vehicles,83 JONES,4,4,4,4,4,4,100,100,100,100,100
14,PM Peak Vehicles,84 SHEPPARD WEST,17,16,17,17,16,18,94,100,100,94,106
14,PM Peak Vehicles,85 SHEPPARD EAST,23,28,22,22,18,17,122,96,96,78,74
14,PM Peak Vehicles,86 SCARBOROUGH,14,14,17,15,14,14,100,121,107,100,100
14,PM Peak Vehicles,87 COSBURN,10,6,6,7,7,7,60,60,70,70,70
14,PM Peak Vehicles,88 SOUTH LEASIDE,9,6,5,5,5,5,67,56,56,56,56
14,PM Peak Vehicles,89 WESTON ROAD,10,13,11,11,11,11,130,110,110,110,110
14,PM Peak Vehicles,90 VAUGHAN,5,5,5,5,7,4,100,100,100,140,80
21,PM Peak Vehicles,91 WOODBINE,6,6,6,6,6,6,100,100,100,100,100
21,PM Peak Vehicles,92 WOODBINE SOUTH,3,3,3,3,3,3,100,100,100,100,100
21,PM Peak Vehicles,93 PARKVIEW HILLS,1,1,1,1,1,1,100,100,100,100,100
21,PM Peak Vehicles,94 WELLESLEY,6,6,6,6,6,6,100,100,100,100,100
21,PM Peak Vehicles,95 YORK MILLS,26,35,22,21,18,14,135,85,81,69,54
21,PM Peak Vehicles,96 WILSON,14,14,16,16,18,20,100,114,114,129,143
21,PM Peak Vehicles,97 YONGE,8,8,6,6,9,9,100,75,75,113,113
21,PM Peak Vehicles,98 WILLOWDALE-SENLAC,5,4,4,4,4,4,80,80,80,80,80
21,PM Peak Vehicles,99 ARROW ROAD,1,1,2,0,5,5,100,200,0,500,
21,PM Peak Vehicles,100 FLEMINGDON PARK,12,9,9,14,14,15,75,75,117,117,125
21,PM Peak Vehicles,101 PARC DOWNSVIEW PARK,2,1,1,1,1,1,50,50,50,50,50
21,PM Peak Vehicles,102 MARKHAM ROAD,19,18,18,24,27,22,95,95,126,142,116
21,PM Peak Vehicles,104 FAYWOOD,4,3,3,3,3,2,75,75,75,75,50
21,PM Peak Vehicles,105 DUFFERIN NORTH,4,3,4,4,4,4,75,100,100,100,100
21,PM Peak Vehicles,106 SENTINEL,6,5,4,4,4,5,83,67,67,67,83
21,PM Peak Vehicles,107 YORK UNIVERSITY HEIGHTS,3,2,6,6,6,6,67,200,200,200,200
21,PM Peak Vehicles,108 DRIFTWOOD,10,10,10,10,8,11,100,100,100,80,110
21,PM Peak Vehicles,109 RANEE,6,4,5,5,5,4,67,83,83,83,67
21,PM Peak Vehicles,110 ISLINGTON SOUTH,9,9,9,9,9,9,100,100,100,100,100
21,PM Peak Vehicles,111 EAST MALL,7,5,5,5,5,6,71,71,71,71,86
21,PM Peak Vehicles,112 WEST MALL,10,9,8,8,8,8,90,80,80,80,80
21,PM Peak Vehicles,113 DANFORTH RD.,6,6,5,5,5,5,100,83,83,83,83
21,PM Peak Vehicles,114 QUEENS QUAY EAST,,,,,,9,,,,,
21,PM Peak Vehicles,115 SILVER HILLS,2,2,2,2,2,3,100,100,100,100,150
21,PM Peak Vehicles,116 MORNINGSIDE,25,17,15,15,18,18,68,60,60,72,72
21,PM Peak Vehicles,117 ALNESS-CHESSWOOD,6,5,,,,,83,,,,
21,PM Peak Vehicles,117 BIRCHMOUNT SOUTH,,,,,,4,,,,,
21,PM Peak Vehicles,118 THISTLE DOWN,3,2,2,3,3,4,67,67,100,100,133
21,PM Peak Vehicles,119 TORBARRIE,3,3,3,3,3,3,100,100,100,100,100
21,PM Peak Vehicles,120 CALVINGTON,3,2,2,2,3,3,67,67,67,100,100
21,PM Peak Vehicles,121 ESPLANADE-RIVER,5,4,4,4,4,4,80,80,80,80,80
21,PM Peak Vehicles,122 GRAYDON HALL,6,5,5,5,5,7,83,83,83,83,117
21,PM Peak Vehicles,123 SHERWAY,10,9,9,12,12,11,90,90,120,120,110
21,PM Peak Vehicles,124 SUNNYBROOK,6,3,3,5,8,0,50,50,83,133,0
21,PM Peak Vehicles,125 DREWRY,4,3,3,3,3,3,75,75,75,75,75
21,PM Peak Vehicles,126 CHRISTIE,2,2,2,2,3,2,100,100,100,150,100
21,PM Peak Vehicles,127 DAVENPORT,3,2,2,2,2,3,67,67,67,67,100
21,PM Peak Vehicles,128 STANLEY GREENE,,,,,,2,,,,,
21,PM Peak Vehicles,129 MCCOWAN NORTH,15,16,12,13,20,17,107,80,87,133,113
21,PM Peak Vehicles,130 MIDDLEFIELD,3,3,3,3,3,3,100,100,100,100,100
21,PM Peak Vehicles,131 NUGGET,11,6,6,7,11,9,55,55,64,100,82
28,PM Peak Vehicles,132 MILNER,4,4,4,4,3,3,100,100,100,75,75
28,PM Peak Vehicles,133 NEILSON,11,11,11,11,14,11,100,100,100,127,100
28,PM Peak Vehicles,134 PROGRESS,10,9,7,13,5,5,90,70,130,50,50
28,PM Peak Vehicles,135 GERRARD,2,2,2,2,2,2,100,100,100,100,100
28,PM Peak Vehicles,141 DOWNTOWN/MT.PLEASANT EXP.,2,,,,,,,,,,
28,PM Peak Vehicles,142 DOWNTOWN/AVE.RD.EXP.,3,,,,,,,,,,
28,PM Peak Vehicles,143 DOWNTOWN\BEACH EXP.,3,,,,,,,,,,
28,PM Peak Vehicles,144 DOWNTOWN/DON VALLEY EXP.,5,,,,,,,,,,
28,PM Peak Vehicles,145 DOWNTOWN/HUMBER BAY EXP.,3,,,,,,,,,,
28,PM Peak Vehicles,154 CURRAN HALL,,,,,,4,,,,,
28,PM Peak Vehicles,160 BATHURST NORTH,4,8,4,4,4,4,200,100,100,100,100
28,PM Peak Vehicles,161 ROGERS ROAD,7,2,4,7,6,5,29,57,100,86,71
28,PM Peak Vehicles,162 DONWAY-LAWRENCE,3,6,2,2,3,3,200,67,67,100,100
28,PM Peak Vehicles,163 OAKWOOD,,18,,,,,,,,,
28,PM Peak Vehicles,165 WESTON RD. NORTH,18,2,21,21,21,23,11,117,117,117,128
28,PM Peak Vehicles,167 PHARMACY NORTH,2,4,2,2,2,3,200,100,100,100,150
28,PM Peak Vehicles,168 SYMINGTON,8,3,4,8,6,6,38,50,100,75,75
28,PM Peak Vehicles,169 HUNTINGWOOD,3,1,3,3,3,3,33,100,100,100,100
28,PM Peak Vehicles,171 MOUNT DENNIS,1,2,1,1,1,1,200,100,100,100,100
28,PM Peak Vehicles,176 MIMICO GO,1,,,,,,,,,,
28,PM Peak Vehicles,189 STOCKYARDS,3,25,2,2,2,2,833,67,67,67,67
28,PM Peak Vehicles,900 AIRPORT EXPRESS,8,4,9,10,10,11,50,113,125,125,138
28,PM Peak Vehicles,902 MARKHAM RD EXPRESS,8,,8,8,9,11,0,100,100,113,138
28,PM Peak Vehicles,903 KENNEDY STN-SCARBOROUGH EXPRESS,4,,,,10,9,,,,250,225
28,PM Peak Vehicles,904 SHEPPARD-KENNEDY EXPRESS,,,,,,9,,,,,
28,PM Peak Vehicles,905 SCARBOROUGH EAST EXPRESS,8,8,10,10,9,10,100,125,125,113,125
28,PM Peak Vehicles,913 PROGRESS EXPRESS,6,,6,0,0,0,,100,,,
28,PM Peak Vehicles,924 VICTORIA PARK EXPRESS,11,,11,11,10,10,0,100,100,91,91
28,PM Peak Vehicles,925 DON MILLS EXPRESS,13,,13,13,13,14,0,100,100,100,108
28,PM Peak Vehicles,927 HIGHWAY 27 EXPRESS,24,19,12,23,18,19,79,50,96,75,79
28,PM Peak Vehicles,929 DUFFERIN EXPRESS,12,,15,15,19,16,0,125,125,158,133
