Page,Metric,Route,Year,Value,Recovery_Rate_pct
1,Passengers,7 BATHURST,2019,26472,
1,Passengers,7 BATHURST,2020,14649,55
1,Passengers,7 BATHURST,2021,17125,65
1,Passengers,7 BATHURST,2022,19746,75
1,Passengers,7 BATHURST,2023,19893,75
1,Passengers,7 BATHURST,2024,21002,79
1,Passengers,8 BROADVIEW,2019,787,
1,Passengers,8 BROADVIEW,2020,446,57
1,Passengers,8 BROADVIEW,2021,564,72
1,Passengers,8 BROADVIEW,2022,609,77
1,Passengers,8 BROADVIEW,2023,1468,187
1,Passengers,8 BROADVIEW,2024,2361,300
1,Passengers,9 BELLAMY,2019,5100,
1,Passengers,9 BELLAMY,2020,2179,43
1,Passengers,9 BELLAMY,2021,2892,57
1,Passengers,9 BELLAMY,2022,4021,79
1,Passengers,9 BELLAMY,2023,5122,100
1,Passengers,9 BELLAMY,2024,5179,102
1,Passengers,10 VAN HORNE,2019,1024,
1,Passengers,10 VAN HORNE,2020,222,22
1,Passengers,10 VAN HORNE,2021,301,29
1,Passengers,10 VAN HORNE,2022,336,33
1,Passengers,10 VAN HORNE,2023,499,49
1,Passengers,10 VAN HORNE,2024,520,51
1,Passengers,11 BAYVIEW,2019,10142,
1,Passengers,11 BAYVIEW,2020,3378,33
1,Passengers,11 BAYVIEW,2021,5688,56
1,Passengers,11 BAYVIEW,2022,6834,67
1,Passengers,11 BAYVIEW,2023,8500,84
1,Passengers,11 BAYVIEW,2024,8561,84
1,Passengers,12 KINGSTON RD.,2019,10171,
1,Passengers,12 KINGSTON RD.,2020,4559,45
1,Passengers,12 KINGSTON RD.,2021,6546,64
1,Passengers,12 KINGSTON RD.,2022,8413,83
1,Passengers,12 KINGSTON RD.,2023,10111,99
1,Passengers,12 KINGSTON RD.,2024,8850,87
1,Passengers,5/13 AVENUE RD.,2019,2049,
1,Passengers,5/13 AVENUE RD.,2020,651,32
1,Passengers,5/13 AVENUE RD.,2021,832,41
1,Passengers,5/13 AVENUE RD.,2022,1009,49
1,Passengers,5/13 AVENUE RD.,2023,1040,51
1,Passengers,5/13 AVENUE RD.,2024,1208,59
1,Passengers,14 GLENCAIRN,2019,3562,
1,Passengers,14 GLENCAIRN,2020,1155,32
1,Passengers,14 GLENCAIRN,2021,1620,45
1,Passengers,14 GLENCAIRN,2022,1914,54
1,Passengers,14 GLENCAIRN,2023,2164,61
1,Passengers,14 GLENCAIRN,2024,2229,63
1,Passengers,15 EVANS,2019,2551,
1,Passengers,15 EVANS,2020,996,39
1,Passengers,15 EVANS,2021,1906,75
1,Passengers,15 EVANS,2022,2148,84
1,Passengers,15 EVANS,2023,2715,106
1,Passengers,15 EVANS,2024,2620,103
1,Passengers,16 MCCOWAN,2019,11241,
1,Passengers,16 MCCOWAN,2020,5708,51
1,Passengers,16 MCCOWAN,2021,8160,73
1,Passengers,16 MCCOWAN,2022,9574,85
1,Passengers,16 MCCOWAN,2023,10527,94
1,Passengers,16 MCCOWAN,2024,11435,102
1,Passengers,17 BIRCHMOUNT,2019,11124,
1,Passengers,17 BIRCHMOUNT,2020,5592,50
1,Passengers,17 BIRCHMOUNT,2021,8036,72
1,Passengers,17 BIRCHMOUNT,2022,8632,78
1,Passengers,17 BIRCHMOUNT,2023,9863,89
1,Passengers,17 BIRCHMOUNT,2024,9527,86
1,Passengers,6/19 BAY,2019,9284,
1,Passengers,6/19 BAY,2020,2396,26
1,Passengers,6/19 BAY,2021,3089,33
1,Passengers,6/19 BAY,2022,3972,43
1,Passengers,6/19 BAY,2023,3657,39
1,Passengers,6/19 BAY,2024,819,9
1,Passengers,20 CLIFFSIDE,2019,7075,
1,Passengers,20 CLIFFSIDE,2020,2574,36
1,Passengers,20 CLIFFSIDE,2021,3819,54
1,Passengers,20 CLIFFSIDE,2022,5644,80
1,Passengers,20 CLIFFSIDE,2023,5953,84
1,Passengers,20 CLIFFSIDE,2024,5878,83
1,Passengers,21 BRIMLEY,2019,9371,
1,Passengers,21 BRIMLEY,2020,4154,44
1,Passengers,21 BRIMLEY,2021,5397,58
1,Passengers,21 BRIMLEY,2022,6830,73
1,Passengers,21 BRIMLEY,2023,7796,83
1,Passengers,21 BRIMLEY,2024,6779,72
1,Passengers,22 COXWELL,2019,5235,
1,Passengers,22 COXWELL,2020,2657,51
1,Passengers,22 COXWELL,2021,3699,71
1,Passengers,22 COXWELL,2022,4623,88
1,Passengers,22 COXWELL,2023,5037,96
1,Passengers,22 COXWELL,2024,5140,98
1,Passengers,23 DAWES,2019,5570,
1,Passengers,23 DAWES,2020,2460,44
1,Passengers,23 DAWES,2021,3854,69
1,Passengers,23 DAWES,2022,4430,80
1,Passengers,23 DAWES,2023,4779,86
1,Passengers,23 DAWES,2024,5087,91
1,Passengers,24 VICTORIA PARK,2019,22751,
1,Passengers,24 VICTORIA PARK,2020,12233,54
1,Passengers,24 VICTORIA PARK,2021,14077,62
1,Passengers,24 VICTORIA PARK,2022,19665,86
1,Passengers,24 VICTORIA PARK,2023,22714,100
1,Passengers,24 VICTORIA PARK,2024,21208,93
1,Passengers,25 DON MILLS,2019,27988,
1,Passengers,25 DON MILLS,2020,16481,59
1,Passengers,25 DON MILLS,2021,18719,67
1,Passengers,25 DON MILLS,2022,20601,74
1,Passengers,25 DON MILLS,2023,25047,89
1,Passengers,25 DON MILLS,2024,20445,73
1,Passengers,26 DUPONT,2019,3845,
1,Passengers,26 DUPONT,2020,1023,27
1,Passengers,26 DUPONT,2021,1262,33
1,Passengers,26 DUPONT,2022,1784,46
1,Passengers,26 DUPONT,2023,1785,46
1,Passengers,26 DUPONT,2024,2261,59
1,Passengers,28 BAYVIEW SOUTH,2020,505,
1,Passengers,28 BAYVIEW SOUTH,2021,499,
1,Passengers,28 BAYVIEW SOUTH,2022,536,
1,Passengers,28 BAYVIEW SOUTH,2023,855,
1,Passengers,28 BAYVIEW SOUTH,2024,980,
1,Passengers,29 DUFFERIN,2019,27487,
1,Passengers,29 DUFFERIN,2020,23021,84
1,Passengers,29 DUFFERIN,2021,22087,80
1,Passengers,29 DUFFERIN,2022,26024,95
1,Passengers,29 DUFFERIN,2023,22792,83
1,Passengers,29 DUFFERIN,2024,21458,78
1,Passengers,30 HIGH PARK,2019,582,
1,Passengers,30 HIGH PARK,2020,273,47
1,Passengers,30 HIGH PARK,2021,436,75
1,Passengers,30 HIGH PARK,2022,350,60
1,Passengers,30 HIGH PARK,2023,496,85
1,Passengers,30 HIGH PARK,2024,505,87
1,Passengers,31 GREENWOOD,2019,2889,
1,Passengers,31 GREENWOOD,2020,1309,45
1,Passengers,31 GREENWOOD,2021,1908,66
1,Passengers,31 GREENWOOD,2022,1952,68
1,Passengers,31 GREENWOOD,2023,2853,99
1,Passengers,31 GREENWOOD,2024,2895,100
1,Passengers,32 EGLINTON WEST,2019,40966,
1,Passengers,32 EGLINTON WEST,2020,16586,40
1,Passengers,32 EGLINTON WEST,2021,24176,59
1,Passengers,32 EGLINTON WEST,2022,29276,71
1,Passengers,32 EGLINTON WEST,2023,31922,78
1,Passengers,32 EGLINTON WEST,2024,32221,79
1,Passengers,33 FOREST HILL,2019,938,
1,Passengers,33 FOREST HILL,2020,318,34
1,Passengers,33 FOREST HILL,2021,546,58
1,Passengers,33 FOREST HILL,2022,747,80
1,Passengers,33 FOREST HILL,2023,914,97
1,Passengers,33 FOREST HILL,2024,907,97
1,Passengers,34 EGLINTON EAST,2019,22559,
1,Passengers,34 EGLINTON EAST,2020,11743,52
1,Passengers,34 EGLINTON EAST,2021,14061,62
1,Passengers,34 EGLINTON EAST,2022,17401,77
