Page,Metric,Route,2019,2020,2021,2022,2023,2024,Recovery_2020_pct,Recovery_2021_pct,Recovery_2022_pct,Recovery_2023_pct,Recovery_2024_pct
1,Passengers,7 BATHURST,26472,14649,17125,19746,19893,21002,55,65,75,75,79
1,Passengers,8 BROADVIEW,787,446,564,609,1468,2361,57,72,77,187,300
1,Passengers,9 BELLAMY,5100,2179,2892,4021,5122,5179,43,57,79,100,102
1,Passengers,10 VAN HORNE,1024,222,301,336,499,520,22,29,33,49,51
1,Passengers,11 BAYVIEW,10142,3378,5688,6834,8500,8561,33,56,67,84,84
1,Passengers,12 KINGSTON RD.,10171,4559,6546,8413,10111,8850,45,64,83,99,87
1,Passengers,5/13 AVENUE RD.,2049,651,832,1009,1040,1208,32,41,49,51,59
1,Passengers,14 GLENCAIRN,3562,1155,1620,1914,2164,2229,32,45,54,61,63
1,Passengers,15 EVANS,2551,996,1906,2148,2715,2620,39,75,84,106,103
1,Passengers,16 MCCOWAN,11241,5708,8160,9574,10527,11435,51,73,85,94,102
1,Passengers,17 BIRCHMOUNT,11124,5592,8036,8632,9863,9527,50,72,78,89,86
1,Passengers,6/19 BAY,9284,2396,3089,3972,3657,819,26,33,43,39,9
1,Passengers,20 CLIFFSIDE,7075,2574,3819,5644,5953,5878,36,54,80,84,83
1,Passengers,21 BRIMLEY,9371,4154,5397,6830,7796,6779,44,58,73,83,72
1,Passengers,22 COXWELL,5235,2657,3699,4623,5037,5140,51,71,88,96,98
1,Passengers,23 DAWES,5570,2460,3854,4430,4779,5087,44,69,80,86,91
1,Passengers,24 VICTORIA PARK,22751,12233,14077,19665,22714,21208,54,62,86,100,93
1,Passengers,25 DON MILLS,27988,16481,18719,20601,25047,20445,59,67,74,89,73
1,Passengers,26 DUPONT,3845,1023,1262,1784,1785,2261,27,33,46,46,59
1,Passengers,28 BAYVIEW SOUTH,,505,499,536,855,980,,,,,
1,Passengers,29 DUFFERIN,27487,23021,22087,26024,22792,21458,84,80,95,83,78
1,Passengers,30 HIGH PARK,582,273,436,350,496,505,47,75,60,85,87
1,Passengers,31 GREENWOOD,2889,1309,1908,1952,2853,2895,45,66,68,99,100
1,Passengers,32 EGLINTON WEST,40966,16586,24176,29276,31922,32221,40,59,71,78,79
1,Passengers,33 FOREST HILL,938,318,546,747,914,907,34,58,80,97,97
1,Passengers,34 EGLINTON EAST,22559,11743,14061,17401,18721,19840,52,62,77,83,88
1,Passengers,35 JANE,31085,26082,20334,24840,28808,25820,84,65,80,93,83
1,Passengers,36 FINCH WEST,54870,28380,30183,36695,35476,39541,52,55,67,65,72
1,Passengers,37 ISLINGTON,11498,6552,6447,9516,11543,12034,57,56,83,100,105
1,Passengers,38 HIGHLAND CREEK,10471,3274,4064,7925,8663,8801,31,39,76,83,84
1,Passengers,39 FINCH EAST,20555,16298,12072,15245,18411,17587,79,59,74,90,86
1,Passengers,40 JUNCTION-DUNDAS WEST,6647,3414,3612,3865,4940,4617,51,54,58,74,69
1,Passengers,41 KEELE,16417,13965,16712,20249,22403,22383,85,102,123,136,136
1,Passengers,42 CUMMER,8428,2763,4432,6039,8070,8758,33,53,72,96,104
1,Passengers,43 KENNEDY,18223,9764,11641,13903,18600,16315,54,64,76,102,90
1,Passengers,44 KIPLING SOUTH,7529,4745,5231,6431,7318,8481,63,69,85,97,113
1,Passengers,45 KIPLING,11875,7451,8107,10974,11312,12007,63,68,92,95,101
1,Passengers,46 MARTINGROVE,7376,4683,5360,5636,6246,7078,63,73,76,85,96
1,Passengers,47 LANSDOWNE,14670,7649,10224,13276,14594,6597,52,70,90,99,45
1,Passengers,48 RATHBURN,2057,677,1032,1332,1654,1725,33,50,65,80,84
2,Vehicle Hours,7 BATHURST,385,371,293,284,287,330,96,76,74,75,86
2,Vehicle Hours,8 BROADVIEW,20,20,20,20,65,78,100,100,100,325,390
2,Vehicle Hours,9 BELLAMY,81,73,73,79,81,81,90,90,98,100,100
2,Vehicle Hours,10 VAN HORNE,22,13,9,9,10,10,59,41,41,45,45
2,Vehicle Hours,11 BAYVIEW,195,175,171,172,172,206,90,88,88,88,106
2,Vehicle Hours,12 KINGSTON RD.,185,175,152,186,186,172,95,82,101,101,93
2,Vehicle Hours,5/13 AVENUE RD.,47,37,37,39,39,49,79,79,83,83,104
2,Vehicle Hours,14 GLENCAIRN,108,40,48,48,49,52,37,44,44,45,48
2,Vehicle Hours,15 EVANS,67,65,72,72,54,67,97,107,107,81,100
2,Vehicle Hours,16 MCCOWAN,129,129,122,124,124,135,100,95,96,96,105
2,Vehicle Hours,17 BIRCHMOUNT,176,164,159,157,166,163,93,90,89,94,93
2,Vehicle Hours,6/19 BAY,187,106,97,87,92,61,57,52,47,49,33
2,Vehicle Hours,20 CLIFFSIDE,96,74,74,104,85,96,77,77,108,89,100
2,Vehicle Hours,21 BRIMLEY,133,138,120,119,111,112,104,90,89,83,84
2,Vehicle Hours,22 COXWELL,62,65,71,67,56,66,105,115,108,90,106
2,Vehicle Hours,23 DAWES,74,59,65,65,65,76,80,88,88,88,103
2,Vehicle Hours,24 VICTORIA PARK,319,409,305,311,312,318,128,96,97,98,100
2,Vehicle Hours,25 DON MILLS,357,371,375,309,349,360,104,105,87,98,101
2,Vehicle Hours,26 DUPONT,88,61,61,75,66,80,69,69,85,75,91
2,Vehicle Hours,28 BAYVIEW SOUTH,,33,20,23,29,29,,,,,
2,Vehicle Hours,29 DUFFERIN,352,353,375,372,356,326,100,107,106,101,93
2,Vehicle Hours,30 HIGH PARK,21,21,21,19,18,18,100,100,90,86,86
2,Vehicle Hours,31 GREENWOOD,48,48,37,47,70,70,100,77,98,146,146
2,Vehicle Hours,32 EGLINTON WEST,681,717,584,569,546,570,105,86,84,80,84
2,Vehicle Hours,33 FOREST HILL,19,19,19,32,28,27,100,100,168,147,142
2,Vehicle Hours,34 EGLINTON EAST,480,515,370,371,370,386,107,77,77,77,80
2,Vehicle Hours,35 JANE,395,395,414,418,395,508,100,105,106,100,129
2,Vehicle Hours,36 FINCH WEST,634,560,715,715,676,659,88,113,113,107,104
2,Vehicle Hours,37 ISLINGTON,209,199,182,202,218,246,95,87,97,104,118
2,Vehicle Hours,38 HIGHLAND CREEK,165,121,119,154,284,225,73,72,93,172,136
2,Vehicle Hours,39 FINCH EAST,384,589,385,367,329,331,153,100,96,86,86
2,Vehicle Hours,40 JUNCTION-DUNDAS WEST,118,95,113,113,159,96,81,96,96,135,81
2,Vehicle Hours,41 KEELE,235,234,247,353,305,341,100,105,150,130,145
2,Vehicle Hours,42 CUMMER,197,156,152,193,186,181,79,77,98,94,92
2,Vehicle Hours,43 KENNEDY,274,302,275,274,259,263,110,100,100,95,96
2,Vehicle Hours,44 KIPLING SOUTH,114,111,100,113,112,140,97,88,99,98,123
2,Vehicle Hours,45 KIPLING,244,238,201,215,221,255,98,82,88,91,105
2,Vehicle Hours,46 MARTINGROVE,150,150,129,126,128,155,100,86,84,85,103
2,Vehicle Hours,47 LANSDOWNE,242,242,205,199,200,247,100,85,82,83,102
2,Vehicle Hours,48 RATHBURN,40,35,28,28,43,31,88,70,70,108,78
3,Vehicle Kilometres,7 BATHURST,5440,5377,4479,4278,3986,4755,99,82,79,73,87
3,Vehicle Kilometres,8 BROADVIEW,333,333,368,338,1030,1194,100,111,102,309,359
3,Vehicle Kilometres,9 BELLAMY,1660,1608,1576,1613,1559,1526,97,95,97,94,92
3,Vehicle Kilometres,10 VAN HORNE,408,243,152,158,178,177,60,37,39,44,43
3,Vehicle Kilometres,11 BAYVIEW,3019,2745,2677,2685,2555,3201,91,89,89,85,106
3,Vehicle Kilometres,12 KINGSTON RD.,3156,3000,2674,3210,3169,3066,95,85,102,100,97
3,Vehicle Kilometres,5/13 AVENUE RD.,693,537,537,576,528,615,77,77,83,76,89
3,Vehicle Kilometres,14 GLENCAIRN,1563,740,727,730,661,742,47,47,47,42,47
3,Vehicle Kilometres,15 EVANS,1398,1486,1532,1533,1101,1430,106,110,110,79,102
3,Vehicle Kilometres,16 MCCOWAN,2225,2236,2065,2102,2046,2143,100,93,94,92,96
3,Vehicle Kilometres,17 BIRCHMOUNT,3484,3583,3228,3216,3357,2993,103,93,92,96,86
3,Vehicle Kilometres,6/19 BAY,2065,1254,1164,1024,936,565,61,56,50,45,27
3,Vehicle Kilometres,20 CLIFFSIDE,1543,1243,1229,1807,1365,1563,81,80,117,88,101
3,Vehicle Kilometres,21 BRIMLEY,2504,2435,2167,2190,1970,2023,97,87,87,79,81
3,Vehicle Kilometres,22 COXWELL,843,937,1234,994,772,772,111,146,118,92,92
3,Vehicle Kilometres,23 DAWES,1127,939,904,904,886,927,83,80,80,79,82
3,Vehicle Kilometres,24 VICTORIA PARK,5676,7371,5402,5543,5102,5554,130,95,98,90,98
3,Vehicle Kilometres,25 DON MILLS,6618,6929,7018,5706,5562,6471,105,106,86,84,98
3,Vehicle Kilometres,26 DUPONT,1365,1033,1065,1077,903,1137,76,78,79,66,83
3,Vehicle Kilometres,28 BAYVIEW SOUTH,,556,419,493,448,448,,,,,
3,Vehicle Kilometres,29 DUFFERIN,4954,4956,5226,5391,4472,4567,100,105,109,90,92
3,Vehicle Kilometres,30 HIGH PARK,338,339,339,284,258,258,100,100,84,76,76
3,Vehicle Kilometres,31 GREENWOOD,644,651,486,693,946,1049,101,75,108,147,163
3,Vehicle Kilometres,32 EGLINTON WEST,9589,9547,8412,8116,7160,8520,100,88,85,75,89
3,Vehicle Kilometres,33 FOREST HILL,283,283,283,413,434,384,100,100,146,153,136
3,Vehicle Kilometres,34 EGLINTON EAST,6531,7090,5386,5259,4751,5597,109,82,81,73,86
3,Vehicle Kilometres,35 JANE,7214,7208,7350,7457,6282,8488,100,102,103,87,118
3,Vehicle Kilometres,36 FINCH WEST,10240,9386,10348,10301,8909,10116,92,101,101,87,99
3,Vehicle Kilometres,37 ISLINGTON,4597,4132,4299,4098,4068,4978,90,94,89,88,108
3,Vehicle Kilometres,38 HIGHLAND CREEK,3515,2669,2591,3148,4962,4467,76,74,90,141,127
3,Vehicle Kilometres,39 FINCH EAST,8072,12496,8196,7265,5977,6091,155,102,90,74,75
3,Vehicle Kilometres,40 JUNCTION-DUNDAS WEST,1862,1752,1856,1862,1930,1581,94,100,100,104,85
3,Vehicle Kilometres,41 KEELE,3665,3542,3733,5372,4382,5268,97,102,147,120,144
3,Vehicle Kilometres,42 CUMMER,3844,3070,2858,3541,3404,3352,80,74,92,89,87
3,Vehicle Kilometres,43 KENNEDY,4787,5455,4702,4740,4327,4605,114,98,99,90,96
3,Vehicle Kilometres,44 KIPLING SOUTH,2201,2147,1998,1955,1839,2411,98,91,89,84,110
3,Vehicle Kilometres,45 KIPLING,5670,4890,4355,4399,4377,5228,86,77,78,77,92
3,Vehicle Kilometres,46 MARTINGROVE,3224,3224,2828,2753,2870,3333,100,88,85,89,103
3,Vehicle Kilometres,47 LANSDOWNE,3340,3983,3260,3122,3035,3719,119,98,93,91,111
3,Vehicle Kilometres,48 RATHBURN,909,829,666,666,927,637,91,73,73,102,70
4,Passengers/Vehicle hour,7 BATHURST,68.8,39.5,58.4,69.5,69.3,63.6,57,85,101,101,93
4,Passengers/Vehicle hour,8 BROADVIEW,39.4,22.3,28.2,30.5,22.6,30.3,57,72,77,57,77
4,Passengers/Vehicle hour,9 BELLAMY,63.0,29.8,39.6,50.9,63.2,63.9,47,63,81,100,102
4,Passengers/Vehicle hour,10 VAN HORNE,46.5,17.1,33.4,37.3,49.9,52.0,37,72,80,107,112
4,Passengers/Vehicle hour,11 BAYVIEW,52.0,19.3,33.3,39.7,49.4,41.6,37,64,76,95,80
4,Passengers/Vehicle hour,12 KINGSTON RD.,55.0,26.1,43.1,45.2,54.4,51.5,47,78,82,99,94
4,Passengers/Vehicle hour,5/13 AVENUE RD.,43.6,17.6,22.5,25.9,26.7,24.7,40,52,59,61,57
4,Passengers/Vehicle hour,14 GLENCAIRN,33.0,28.9,33.8,39.9,44.2,42.9,88,102,121,134,130
4,Passengers/Vehicle hour,15 EVANS,38.1,15.3,26.5,29.8,50.3,39.1,40,70,78,132,103
4,Passengers/Vehicle hour,16 MCCOWAN,87.1,44.2,66.9,77.2,84.9,84.7,51,77,89,97,97
4,Passengers/Vehicle hour,17 BIRCHMOUNT,63.2,34.1,50.5,55.0,59.4,58.4,54,80,87,94,92
