Page,Metric,Route,2019,2020,2021,2022,2023,2024,Recovery_2020_pct,Recovery_2021_pct,Recovery_2022_pct,Recovery_2023_pct,Recovery_2024_pct
2,Vehicle Hours,7 BATHURST,385,371,293,284,287,330,96,76,74,75,86
2,Vehicle Hours,8 BROADVIEW,20,20,20,20,65,78,100,100,100,325,390
2,Vehicle Hours,9 BELLAMY,81,73,73,79,81,81,90,90,98,100,100
2,Vehicle Hours,10 VAN HORNE,22,13,9,9,10,10,59,41,41,45,45
2,Vehicle Hours,11 BAYVIEW,195,175,171,172,172,206,90,88,88,88,106
2,Vehicle Hours,12 KINGSTON RD.,185,175,152,186,186,172,95,82,101,101,93
2,Vehicle Hours,5/13 AVENUE RD.,47,37,37,39,39,49,79,79,83,83,104
2,Vehicle Hours,14 GLENCAIRN,108,40,48,48,49,52,37,44,44,45,48
2,Vehicle Hours,15 EVANS,67,65,72,72,54,67,97,107,107,81,100
2,Vehicle Hours,16 MCCOWAN,129,129,122,124,124,135,100,95,96,96,105
2,Vehicle Hours,17 BIRCHMOUNT,176,164,159,157,166,163,93,90,89,94,93
2,Vehicle Hours,6/19 BAY,187,106,97,87,92,61,57,52,47,49,33
2,Vehicle Hours,20 CLIFFSIDE,96,74,74,104,85,96,77,77,108,89,100
2,Vehicle Hours,21 BRIMLEY,133,138,120,119,111,112,104,90,89,83,84
2,Vehicle Hours,22 COXWELL,62,65,71,67,56,66,105,115,108,90,106
2,Vehicle Hours,23 DAWES,74,59,65,65,65,76,80,88,88,88,103
2,Vehicle Hours,24 VICTORIA PARK,319,409,305,311,312,318,128,96,97,98,100
2,Vehicle Hours,25 DON MILLS,357,371,375,309,349,360,104,105,87,98,101
2,Vehicle Hours,26 DUPONT,88,61,61,75,66,80,69,69,85,75,91
2,Vehicle Hours,28 BAYVIEW SOUTH,,33,20,23,29,29,,,,,
2,Vehicle Hours,29 DUFFERIN,352,353,375,372,356,326,100,107,106,101,93
2,Vehicle Hours,30 HIGH PARK,21,21,21,19,18,18,100,100,90,86,86
2,Vehicle Hours,31 GREENWOOD,48,48,37,47,70,70,100,77,98,146,146
2,Vehicle Hours,32 EGLINTON WEST,681,717,584,569,546,570,105,86,84,80,84
2,Vehicle Hours,33 FOREST HILL,19,19,19,32,28,27,100,100,168,147,142
2,Vehicle Hours,34 EGLINTON EAST,480,515,370,371,370,386,107,77,77,77,80
2,Vehicle Hours,35 JANE,395,395,414,418,395,508,100,105,106,100,129
2,Vehicle Hours,36 FINCH WEST,634,560,715,715,676,659,88,113,113,107,104
2,Vehicle Hours,37 ISLINGTON,209,199,182,202,218,246,95,87,97,104,118
2,Vehicle Hours,38 HIGHLAND CREEK,165,121,119,154,284,225,73,72,93,172,136
2,Vehicle Hours,39 FINCH EAST,384,589,385,367,329,331,153,100,96,86,86
2,Vehicle Hours,40 JUNCTION-DUNDAS WEST,118,95,113,113,159,96,81,96,96,135,81
2,Vehicle Hours,41 KEELE,235,234,247,353,305,341,100,105,150,130,145
2,Vehicle Hours,42 CUMMER,197,156,152,193,186,181,79,77,98,94,92
2,Vehicle Hours,43 KENNEDY,274,302,275,274,259,263,110,100,100,95,96
2,Vehicle Hours,44 KIPLING SOUTH,114,111,100,113,112,140,97,88,99,98,123
2,Vehicle Hours,45 KIPLING,244,238,201,215,221,255,98,82,88,91,105
2,Vehicle Hours,46 MARTINGROVE,150,150,129,126,128,155,100,86,84,85,103
2,Vehicle Hours,47 LANSDOWNE,242,242,205,199,200,247,100,85,82,83,102
2,Vehicle Hours,48 RATHBURN,40,35,28,28,43,31,88,70,70,108,78
9,Vehicle Hours,49 BLOOR WEST,48,41,33,33,27,35,85,69,69,56,73
9,Vehicle Hours,50 BURNHAMTHORPE,48,35,29,48,40,40,73,60,100,83,83
9,Vehicle Hours,51 LESLIE,117,99,96,103,103,89,85,82,88,88,76
9,Vehicle Hours,52 LAWRENCE WEST,663,662,553,532,609,747,100,83,80,92,113
9,Vehicle Hours,53 STEELES EAST,386,408,382,379,462,467,106,99,98,120,121
9,Vehicle Hours,54 LAWRENCE EAST,605,592,580,586,630,737,98,96,97,104,122
9,Vehicle Hours,55 WARREN PARK,29,21,21,21,20,41,72,72,72,69,141
9,Vehicle Hours,56 LEASIDE,100,78,77,77,80,83,78,77,77,80,83
9,Vehicle Hours,57 MIDLAND,156,99,97,131,118,137,63,62,84,76,88
9,Vehicle Hours,59 MAPLE LEAF,85,85,80,80,78,111,100,94,94,92,131
9,Vehicle Hours,60 STEELES WEST,461,438,204,213,169,174,95,44,46,37,38
9,Vehicle Hours,61 AVENUE RD. NORTH,70,63,53,62,66,57,90,76,89,94,81
9,Vehicle Hours,62 MORTIMER,48,40,40,48,48,67,83,83,100,100,140
9,Vehicle Hours,63 OSSINGTON,342,204,289,281,265,332,60,85,82,77,97
9,Vehicle Hours,64 MAIN,41,34,41,41,44,46,83,100,100,107,112
9,Vehicle Hours,65 PARLIAMENT,71,61,65,103,103,101,86,92,145,145,142
9,Vehicle Hours,66 PRINCE EDWARD,98,80,70,71,92,104,82,71,72,94,106
9,Vehicle Hours,67 PHARMACY,89,89,89,89,94,95,100,100,100,106,107
9,Vehicle Hours,68 WARDEN,235,251,244,162,218,305,107,104,69,93,130
9,Vehicle Hours,69 WARDEN SOUTH,69,69,69,69,64,60,100,100,100,93,87
9,Vehicle Hours,70 O'CONNOR,104,104,108,110,113,97,100,104,106,109,93
9,Vehicle Hours,71 RUNNYMEDE,81,100,96,96,96,99,123,119,119,119,122
9,Vehicle Hours,72 PAPE,140,137,144,144,139,210,98,103,103,99,150
9,Vehicle Hours,73 ROYAL YORK,162,176,151,198,153,169,109,93,122,94,104
9,Vehicle Hours,74 MOUNT PLEASANT,67,53,41,56,56,56,79,61,84,84,84
9,Vehicle Hours,75 SHERBOURNE,145,96,174,127,127,139,66,120,88,88,96
9,Vehicle Hours,76 ROYAL YORK SOUTH,123,101,83,98,117,131,82,67,80,95,107
9,Vehicle Hours,77 SWANSEA,81,44,30,30,34,44,54,37,37,42,54
9,Vehicle Hours,78 ST. ANDREWS,30,30,20,27,28,29,100,67,90,93,97
9,Vehicle Hours,79 SCARLETT ROAD,184,140,134,134,127,122,76,73,73,69,66
9,Vehicle Hours,80 QUEENSWAY,58,58,58,58,75,115,100,100,100,129,198
9,Vehicle Hours,81 THORNCLIFFE PARK,72,69,71,72,72,0,96,99,100,100,0
9,Vehicle Hours,82 ROSEDALE,23,23,23,19,19,19,100,100,83,83,83
9,Vehicle Hours,83 JONES,62,57,57,59,59,57,92,92,95,95,92
9,Vehicle Hours,84 SHEPPARD WEST,278,278,286,295,270,271,100,103,106,97,97
9,Vehicle Hours,85 SHEPPARD EAST,381,423,364,366,338,326,111,96,96,89,86
9,Vehicle Hours,86 SCARBOROUGH,261,230,229,226,238,263,88,88,87,91,101
9,Vehicle Hours,87 COSBURN,162,125,122,131,121,131,77,75,81,75,81
9,Vehicle Hours,88 SOUTH LEASIDE,120,104,98,104,104,104,87,82,87,87,87
9,Vehicle Hours,89 WESTON ROAD,204,215,194,199,199,226,105,95,98,98,111
9,Vehicle Hours,90 VAUGHAN,82,74,74,70,121,65,90,90,85,148,79
16,Vehicle Hours,91 WOODBINE,91,89,91,90,90,82,98,100,99,99,90
16,Vehicle Hours,92 WOODBINE SOUTH,44,44,44,45,45,44,100,100,102,102,100
16,Vehicle Hours,93 PARKVIEW HILLS,20,20,20,20,20,20,100,100,100,100,100
16,Vehicle Hours,94 WELLESLEY,122,111,114,111,111,104,91,93,91,91,85
16,Vehicle Hours,95 YORK MILLS,373,483,368,375,300,289,129,99,101,80,77
16,Vehicle Hours,96 WILSON,286,286,309,317,347,381,100,108,111,121,133
16,Vehicle Hours,97 YONGE,137,137,98,92,129,134,100,72,67,94,98
16,Vehicle Hours,98 WILLOWDALE-SENLAC,86,76,76,68,68,76,88,88,79,79,88
16,Vehicle Hours,99 ARROW ROAD,6,6,12,12,53,56,100,200,200,883,933
16,Vehicle Hours,100 FLEMINGDON PARK,229,178,178,205,210,209,78,78,90,92,91
16,Vehicle Hours,101 PARC DOWNSVIEW PARK,25,17,17,17,17,17,68,68,68,68,68
16,Vehicle Hours,102 MARKHAM ROAD,355,366,366,407,478,463,103,103,115,135,130
16,Vehicle Hours,104 FAYWOOD,64,56,56,56,56,38,88,88,88,88,59
16,Vehicle Hours,105 DUFFERIN NORTH,52,42,51,52,52,56,81,98,100,100,108
16,Vehicle Hours,106 SENTINEL,107,99,85,85,86,98,93,79,79,80,92
16,Vehicle Hours,107 YORK UNIVERSITY HEIGHTS,55,44,81,81,81,81,80,147,147,147,147
16,Vehicle Hours,108 DRIFTWOOD,168,164,154,154,140,142,98,92,92,83,85
16,Vehicle Hours,109 RANEE,68,43,63,64,64,59,63,93,94,94,87
16,Vehicle Hours,110 ISLINGTON SOUTH,141,136,127,139,129,127,96,90,99,91,90
16,Vehicle Hours,111 EAST MALL,93,80,80,83,83,114,86,86,89,89,123
16,Vehicle Hours,112 WEST MALL,180,153,150,153,159,180,85,83,85,88,100
16,Vehicle Hours,113 DANFORTH RD.,78,83,76,78,72,78,106,97,100,92,100
16,Vehicle Hours,114 QUEENS QUAY EAST,,,,,,133,,,,,
16,Vehicle Hours,115 SILVER HILLS,33,33,33,33,34,38,100,100,100,103,115
16,Vehicle Hours,116 MORNINGSIDE,389,315,275,276,283,285,81,71,71,73,73
16,Vehicle Hours,117 ALNESS-CHESSWOOD,69,61,,,,,88,,,,
16,Vehicle Hours,117 BIRCHMOUNT SOUTH,,,,,,69,,,,,
16,Vehicle Hours,118 THISTLE DOWN,62,41,40,53,53,63,66,65,85,85,102
16,Vehicle Hours,119 TORBARRIE,26,24,35,35,35,47,92,135,135,135,181
16,Vehicle Hours,120 CALVINGTON,51,38,38,38,43,43,75,75,75,84,84
16,Vehicle Hours,121 ESPLANADE-RIVER,80,64,69,69,69,69,80,86,86,86,86
16,Vehicle Hours,122 GRAYDON HALL,87,76,70,73,63,97,87,80,84,72,111
16,Vehicle Hours,123 SHERWAY,128,128,129,154,158,156,100,101,120,123,122
16,Vehicle Hours,124 SUNNYBROOK,82,52,41,62,106,0,63,50,76,129,0
16,Vehicle Hours,125 DREWRY,54,45,45,45,45,56,83,83,83,83,104
16,Vehicle Hours,126 CHRISTIE,29,28,32,32,40,28,97,110,110,138,97
16,Vehicle Hours,127 DAVENPORT,52,40,41,41,41,54,77,79,79,79,104
16,Vehicle Hours,128 STANLEY GREENE,,,,,,22,,,,,
16,Vehicle Hours,129 MCCOWAN NORTH,208,227,172,128,307,260,109,83,62,148,125
16,Vehicle Hours,130 MIDDLEFIELD,48,55,48,48,46,46,115,100,100,96,96
16,Vehicle Hours,131 NUGGET,120,95,95,108,168,147,79,79,90,140,123
23,Vehicle Hours,132 MILNER,54,54,54,54,48,40,100,100,100,89,74
23,Vehicle Hours,133 NEILSON,170,163,156,156,212,167,96,92,92,125,98
23,Vehicle Hours,134 PROGRESS,82,126,73,154,91,91,154,89,188,111,111
23,Vehicle Hours,135 GERRARD,31,31,35,35,41,41,100,113,113,132,132
23,Vehicle Hours,141 DOWNTOWN/MT.PLEASANT EXP.,10,,,,,,,,,,
23,Vehicle Hours,142 DOWNTOWN/AVE.RD.EXP.,20,,,,,,,,,,
23,Vehicle Hours,143 DOWNTOWN\BEACH EXP.,22,,,,,,,,,,
23,Vehicle Hours,144 DOWNTOWN/DON VALLEY EXP.,41,,,,,,,,,,
23,Vehicle Hours,145 DOWNTOWN/HUMBER BAY EXP.,20,,,,,,,,,,
23,Vehicle Hours,154 CURRAN HALL,,,,,,83,,,,,
23,Vehicle Hours,160 BATHURST NORTH,60,56,60,42,60,60,93,100,70,100,100
23,Vehicle Hours,161 ROGERS ROAD,99,68,70,97,97,87,69,71,98,98,88
23,Vehicle Hours,162 DONWAY-LAWRENCE,49,33,33,33,51,51,67,67,67,104,104
23,Vehicle Hours,163 OAKWOOD,,111,,,,,,,,,
23,Vehicle Hours,165 WESTON RD. NORTH,324,324,348,348,354,411,100,107,107,109,127
23,Vehicle Hours,167 PHARMACY NORTH,41,41,41,41,41,42,100,100,100,100,102
23,Vehicle Hours,168 SYMINGTON,111,58,58,115,86,88,52,52,104,77,79
23,Vehicle Hours,169 HUNTINGWOOD,68,68,61,61,61,61,100,90,90,90,90
23,Vehicle Hours,171 MOUNT DENNIS,19,19,19,19,19,19,100,100,100,100,100
23,Vehicle Hours,176 MIMICO GO,9,,,,,,,,,,
23,Vehicle Hours,189 STOCKYARDS,46,34,34,37,38,38,74,74,80,83,83
23,Vehicle Hours,900 AIRPORT EXPRESS,106,78,112,115,120,123,74,106,108,113,116
23,Vehicle Hours,902 MARKHAM RD EXPRESS,102,,102,105,114,142,0,100,103,112,139
23,Vehicle Hours,903 KENNEDY STN-SCARBOROUGH EXPRESS,12,,,,148,135,,,,1233,1125
23,Vehicle Hours,904 SHEPPARD-KENNEDY EXPRESS,,,,,,150,,,,,
23,Vehicle Hours,905 SCARBOROUGH EAST EXPRESS,120,117,151,157,117,143,98,126,131,98,119
23,Vehicle Hours,913 PROGRESS EXPRESS,64,,32,0,0,,,50,,,
23,Vehicle Hours,924 VICTORIA PARK EXPRESS,103,,102,103,89,94,0,99,100,86,91
23,Vehicle Hours,925 DON MILLS EXPRESS,182,,182,183,184,272,0,100,101,101,149
23,Vehicle Hours,927 HIGHWAY 27 EXPRESS,308,245,280,280,267,319,80,91,91,87,104
23,Vehicle Hours,929 DUFFERIN EXPRESS,185,,235,231,278,229,0,127,125,150,124
23,Vehicle Hours,935 JANE EXPRESS,168,,149,149,128,219,0,89,89,76,130
23,Vehicle Hours,937 ISLINGTON EXPRESS,64,,63,70,69,70,0,98,109,108,109
30,Vehicle Hours,938 HIGHLAND CREEK EXPRESS,,,,,27,23,,,,,
30,Vehicle Hours,939 FINCH EXPRESS,564,,409,392,563,517,0,73,70,100,92
30,Vehicle Hours,941 KEELE EXPRESS,59,,78,104,66,73,0,132,176,112,124
30,Vehicle Hours,944 KIPLING SOUTH EXPRESS,53,,53,54,55,49,0,100,102,104,92
30,Vehicle Hours,945 KIPLING EXPRESS,78,,97,98,102,77,0,124,126,131,99
30,Vehicle Hours,952 LAWRENCE WEST EXPRESS,99,,108,108,128,132,0,109,109,129,133
30,Vehicle Hours,953 STEELES EAST EXPRESS,154,,149,149,50,39,0,97,97,32,25
30,Vehicle Hours,954 LAWRENCE EAST EXPRESS,60,,58,60,76,80,0,97,100,127,133
30,Vehicle Hours,960 STEELES WEST EXPRESS,46,,284,280,292,341,0,617,609,635,741
30,Vehicle Hours,968 WARDEN EXPRESS,,,,45,55,47,,,,,
30,Vehicle Hours,984 SHEPPARD WEST EXPRESS,99,,89,91,76,76,0,90,92,77,77
30,Vehicle Hours,985 SHEPPARD EAST EXPRESS,172,,169,169,249,65,0,98,98,145,38
30,Vehicle Hours,986 SCARBOROUGH EXPRESS,54,78,67,67,69,69,144,124,124,128,128
30,Vehicle Hours,989 WESTON EXPRESS,75,,83,85,85,80,0,111,113,113,107
30,Vehicle Hours,995 YORK MILLS EXPRESS,116,,125,124,129,212,0,108,107,111,183
30,Vehicle Hours,996 WILSON EXPRESS,154,,148,174,298,331,0,96,113,194,215
30,Vehicle Hours,501 QUEEN,417,532,1056,838,463,536,128,253,201,111,129
30,Vehicle Hours,501B QUEEN BUS,,,,,317,,,,,,
30,Vehicle Hours,503 KINGSTON RD.TRIPPER,205,162,178,185,252,255,79,87,90,123,124
