Page,Metric,Route,2019,2020,2021,2022,2023,2024,Recovery_2020_pct,Recovery_2021_pct,Recovery_2022_pct,Recovery_2023_pct,Recovery_2024_pct
3,Vehicle Kilometres,7 BATHURST,5440,5377,4479,4278,3986,4755,99,82,79,73,87
3,Vehicle Kilometres,8 BROADVIEW,333,333,368,338,1030,1194,100,111,102,309,359
3,Vehicle Kilometres,9 BELLAMY,1660,1608,1576,1613,1559,1526,97,95,97,94,92
3,Vehicle Kilometres,10 VAN HORNE,408,243,152,158,178,177,60,37,39,44,43
3,Vehicle Kilometres,11 BAYVIEW,3019,2745,2677,2685,2555,3201,91,89,89,85,106
3,Vehicle Kilometres,12 KINGSTON RD.,3156,3000,2674,3210,3169,3066,95,85,102,100,97
3,Vehicle Kilometres,5/13 AVENUE RD.,693,537,537,576,528,615,77,77,83,76,89
3,Vehicle Kilometres,14 GLENCAIRN,1563,740,727,730,661,742,47,47,47,42,47
3,Vehicle Kilometres,15 EVANS,1398,1486,1532,1533,1101,1430,106,110,110,79,102
3,Vehicle Kilometres,16 MCCOWAN,2225,2236,2065,2102,2046,2143,100,93,94,92,96
3,Vehicle Kilometres,17 BIRCHMOUNT,3484,3583,3228,3216,3357,2993,103,93,92,96,86
3,Vehicle Kilometres,6/19 BAY,2065,1254,1164,1024,936,565,61,56,50,45,27
3,Vehicle Kilometres,20 CLIFFSIDE,1543,1243,1229,1807,1365,1563,81,80,117,88,101
3,Vehicle Kilometres,21 BRIMLEY,2504,2435,2167,2190,1970,2023,97,87,87,79,81
3,Vehicle Kilometres,22 COXWELL,843,937,1234,994,772,772,111,146,118,92,92
3,Vehicle Kilometres,23 DAWES,1127,939,904,904,886,927,83,80,80,79,82
3,Vehicle Kilometres,24 VICTORIA PARK,5676,7371,5402,5543,5102,5554,130,95,98,90,98
3,Vehicle Kilometres,25 DON MILLS,6618,6929,7018,5706,5562,6471,105,106,86,84,98
3,Vehicle Kilometres,26 DUPONT,1365,1033,1065,1077,903,1137,76,78,79,66,83
3,Vehicle Kilometres,28 BAYVIEW SOUTH,,556,419,493,448,448,,,,,
3,Vehicle Kilometres,29 DUFFERIN,4954,4956,5226,5391,4472,4567,100,105,109,90,92
3,Vehicle Kilometres,30 HIGH PARK,338,339,339,284,258,258,100,100,84,76,76
3,Vehicle Kilometres,31 GREENWOOD,644,651,486,693,946,1049,101,75,108,147,163
3,Vehicle Kilometres,32 EGLINTON WEST,9589,9547,8412,8116,7160,8520,100,88,85,75,89
3,Vehicle Kilometres,33 FOREST HILL,283,283,283,413,434,384,100,100,146,153,136
3,Vehicle Kilometres,34 EGLINTON EAST,6531,7090,5386,5259,4751,5597,109,82,81,73,86
3,Vehicle Kilometres,35 JANE,7214,7208,7350,7457,6282,8488,100,102,103,87,118
3,Vehicle Kilometres,36 FINCH WEST,10240,9386,10348,10301,8909,10116,92,101,101,87,99
3,Vehicle Kilometres,37 ISLINGTON,4597,4132,4299,4098,4068,4978,90,94,89,88,108
3,Vehicle Kilometres,38 HIGHLAND CREEK,3515,2669,2591,3148,4962,4467,76,74,90,141,127
3,Vehicle Kilometres,39 FINCH EAST,8072,12496,8196,7265,5977,6091,155,102,90,74,75
3,Vehicle Kilometres,40 JUNCTION-DUNDAS WEST,1862,1752,1856,1862,1930,1581,94,100,100,104,85
3,Vehicle Kilometres,41 KEELE,3665,3542,3733,5372,4382,5268,97,102,147,120,144
3,Vehicle Kilometres,42 CUMMER,3844,3070,2858,3541,3404,3352,80,74,92,89,87
