rank,station_name,pagerank_score,matched_nodes,degree_centrality,closeness,betweenness,platform_stop_count
1,Finch Station,0.03863705629133667,366,0.0005316321105794789,0.018866404604944504,0.03629283182695128,33
2,Eglinton Station,0.03491288349018415,271,0.001594896331738437,0.02028812172720864,0.06994555450323718,18
3,Bathurst Station,0.023197361264955016,201,0.0008506113769271664,0.013984108697454948,0.15175959257284263,4
4,Warden Station,0.019073673674315797,175,0.0005316321105794789,0.013430655058183385,0.1151858548910166,9
5,Kipling Station,0.018407374512271108,168,0.0005316321105794789,0.01175199296233473,0.08308925843292518,15
6,Dufferin Station,0.01748298992119576,151,0.0010632642211589579,0.018945536764356504,0.14799716578268113,5
7,McCowan Station,0.01681728837778527,143,0.0009569377990430621,0.01527197560184494,0.05080811035519138,3
8,Bloor Station,0.01616196317701187,152,0.0008506113769271664,0.01335527250299697,0.03510431631153185,10
9,Keele Station,0.01583557936740744,139,0.001594896331738437,0.02028812172720864,0.12107185070518606,16
10,Kennedy Station,0.015579992349310168,139,0.0010632642211589579,0.019878025373864225,0.11106579959539771,17
