stop_id,name,degree,in_degree,out_degree,pagerank,betweenness
1,Millwood Rd at McRae Dr South Side,3,1,2,9.105328771675324e-05,0.002095278604849
2,Bathurst St at Horsham Ave,2,1,1,0.0001139711945084793,0.009145383009164378
3,Royal York Rd at King Georges Rd,3,1,2,0.00015281515565130485,0.0035670991067630795
4,Finch Ave West at Driftwood Ave,2,1,1,6.657136859804622e-05,0.004367333396788947
5,Lawrence Ave East at Wanless Cres (West),2,1,1,0.00011393582691955552,0.011806372499375484
7,Kennedy Rd at Huntingwood Dr,2,1,1,0.00010345961402003626,0.006070289238621863
8,Shorncliffe Ave at Newbridge Rd South Side,2,1,1,8.886363310428374e-05,0.0018234793704806466
9,Warden Ave at Tower Dr,2,1,1,0.0001093932993472657,0.0002062951935346661
10,Thirtieth St at Alhena Ave,0,0,0,1.6598932385570904e-05,0.0
11,Birchmount Rd at Harvest Moon Dr,2,1,1,3.675930382005701e-05,0.002681837515950659
12,Brown's Line at Woodbury Rd,2,1,1,0.00018394891014003137,0.008037090054423103
13,Pharmacy Ave at Huntingwood Dr,2,1,1,0.00011062853171393727,0.004940450871969375
14,Pharmacy Ave at Rosscowan Gate South Side,2,1,1,0.00011062853171393727,0.005043598468736708
16,Underhill Dr at Broadlands Blvd,2,1,1,5.3290559772812806e-05,0.04218744340569065
17,St Clair Ave East at Santamonica Blvd,6,4,2,0.00033515102615276995,0.011463323398563721
18,Driftwood Ave at Finch Ave West,2,1,1,9.78004947731511e-05,0.000758188005104211
19,Rexdale Blvd at Martin Grove Rd,2,1,1,9.486557921939062e-05,0.001332145895363675
20,Willowdale Ave at Northwood Dr,2,1,1,0.00010266782116141745,0.0004107294768183752
21,Dovercourt Rd at Geary Ave North Side,2,1,1,0.00010158907500214237,0.006525513012521044
22,Drewry Ave at Marthon Cres (East),2,1,1,0.00011062853171393727,0.0008246490854955338
23,Post Rd at Bayview Ave East Side,2,1,1,3.347715945696602e-05,0.004624324839818245
24,Queens Quay West at Rees St West Side,3,1,2,0.00011536187927680246,0.009602334872698548
25,Albion Rd at Finch Ave West,2,1,1,9.903330287779627e-05,0.0033007230965546577
26,Middlefield Rd at Passmore Ave,2,1,1,9.575898524541692e-05,0.0018082757470893386
28,Eglinton Ave East at Laird Dr East Side,3,2,1,0.00024130992757557084,0.02730881215764656
29,Lesmill Rd at Valleybrook Dr West Side,2,1,1,5.5882322871947356e-05,0.0024712888132709487
30,Huntingwood Dr at Garrybrook Dr,2,1,1,0.00011062853171393727,0.0007368318446051327
31,Davenport Rd at Osler St,2,1,1,0.00016721739481733583,0.021876380628023266
32,Yonge Blvd at Dunster Ave North Side,2,1,1,6.83742548186398e-05,0.00010314759676733305
33,185 Graydon Hall Dr,2,1,1,9.552870399822319e-05,0.001646108039132284
34,Eglinton Ave East at Beachell St,2,1,1,0.00014528581404898853,0.0
35,Keele St at Greenbrook Dr South Side,3,2,1,0.00016745755735394653,0.004051079217600191
36,College St at Elizabeth St,2,1,1,0.00011062853171393727,0.004234104390111663
37,Le Page Crt at Keele St East Side,2,1,1,5.004076265446009e-05,0.0012397561321423505
40,Jones Ave at Baird Ave,2,1,1,9.499638182768248e-05,0.0007172479795831561
42,Dufferin St at Gordon St,2,1,1,9.030797671560382e-05,0.0
44,Evans Ave at Gair Dr,2,1,1,0.00021360640168648106,0.0
45,Longbourne Dr at Redgrave Dr,2,1,1,0.00010817466164523372,0.0006055579186161917
46,Huntingwood Rd at Ridgecrest Dr,2,1,1,8.685431867460301e-05,0.001877817949808592
48,Elmhurst Dr at Muncey Ave,2,1,1,0.00012075149501510106,0.0
50,Islington Ave at Norseman St,2,1,1,0.00014123569107736512,0.005833953636750319
51,McNicoll Ave at Midland Ave,2,1,1,0.00011707298878290816,0.005680561463207146
52,Wilson Heights Blvd at Clifton Ave,2,1,1,8.926233227650931e-05,0.00041737558485750747
53,Progress Ave at Estate Dr (West),2,1,1,9.78299646791085e-05,0.0002062951935346661
54,Steeles Ave East at Midland Ave,4,2,2,0.00011030851487056815,0.00591714586809759
56,Bayview Ave at Hillcrest Ave,2,1,1,0.00011062853171393727,0.002052245659487259
57,Willowridge Rd at Richgrove Dr,2,1,1,0.00010885233952283147,0.00039926272508152564
58,Victoria Park Ave at Furnival Rd,2,1,1,0.00010873895867337963,0.00010314759676733305
