stop_name,entity_type,platform_stop_count,graph_degree,Degree,Closeness,Betweenness,route_count,routes_serving,member_stop_ids
York Mills Station,station,19,17,0.0023316417501028663,0.05363132952848297,0.2622547852916456,13,"1,115,122,165,320,395,396,78,95,96,97,995,996","9065,9066,14806,14807,14808,14810,14811,14812,14813,13792,13791,8891,8892,9906,9907,11333,11334,11371,11394"
Lawrence Station,station,12,11,0.0015087093677136195,0.05431566294011994,0.22701200916102487,8,"1,124,162,320,352,52,952,97","1234,9019,9020,14726,14727,13793,13794,15184,1235,5355,5388,9038"
Victoria Park Station,station,8,11,0.0015087093677136195,0.04580958065661588,0.21241369586337033,8,"117,12,2,24,324,404,67,924","14786,14787,14788,13734,13733,14976,6345,14962"
Eglinton Station,station,23,12,0.001645864764778494,0.05455462156996608,0.21137421204563628,11,"1,103,13,320,334,34,354,5,61,74,97","8977,8980,8981,14669,14670,14672,14673,14674,14675,13795,13796,14954,16073,16074,1674,2342,8958,9898,13898,14950,15708,15709,16331"
Bloor-Yonge Station,station,6,9,0.0012343985735838703,0.052174758713188066,0.1993856077620324,4,"1,2,300,320","3213,3214,13864,13756,13755,11116"
Warden Station,station,10,14,0.001920175558908243,0.04480656024224885,0.18489772374900523,12,"102,117,135,16,17,2,68,69,8,9,902,968","13732,13731,16636,16639,16640,16642,16643,16638,14055,15820"
Spadina Station,station,9,9,0.0012343985735838703,0.05195763544447907,0.18326572669977545,6,"1,127,2,300,310,510","14777,14816,13853,13852,13851,585,7352,8125,8127"
Broadview Station,station,12,9,0.0012343985735838703,0.04994582701556419,0.1808981669885836,13,"100,2,25,300,304,305,322,504,505,62,8,87,925","14635,14636,14637,14639,14640,13749,13750,870,1755,3371,11925,11926"
Kennedy Station,station,18,13,0.0017830201618433683,0.04379771437094932,0.17974408335728903,25,"113,116,12,129,131,133,154,2,20,201,21,334,34,343,38,386,43,5,57,86,903,904,905,939,986","14708,14709,14710,14711,14947,13865,16381,16390,16391,16392,16393,16394,16453,16081,16082,1038,12198,16339"
Cedarvale Station,station,9,11,0.0015087093677136195,0.053136852945514824,0.17533962481755688,7,"1,164,334,34,363,5,90","9896,9895,14679,14680,14682,13832,14678,16069,16070"
Castle Frank Station,station,5,5,0.0006857769853243725,0.050576040755369533,0.1732620517811898,4,"2,300,65,94","14641,14642,13752,13751,15528"
Sherbourne Station,station,5,6,0.000822932382389247,0.05129599961659662,0.17254880183113908,3,"2,300,75","7308,7309,13753,13754,16003"
St George Station,station,5,5,0.0006857769853243725,0.05175739625841204,0.16134200534559745,4,"1,2,26,300","14784,13858,13856,13855,495"
Sheppard-Yonge Station,station,12,9,0.0012343985735838703,0.0519702482318011,0.1562129769030272,8,"1,185,384,385,4,84,98,984","14771,14772,14773,14774,14775,13860,13859,13861,7258,8093,12192,13563"
Pape Station,station,7,8,0.001097243176518996,0.04802753341995061,0.15446087243405796,4,"2,300,325,72","13746,13745,904,5983,6628,11846,16521"
Bay Station,station,5,7,0.0009600877794541215,0.051924278186641186,0.15010807520608074,3,"19,2,300","235,266,13757,13758,16001"
Chester Station,station,3,4,0.000548621588259498,0.04891903020621581,0.1496375198753043,2,"2,300","13748,13747,880"
Coxwell Station,station,9,8,0.001097243176518996,0.045727563025934434,0.14921278231527432,6,"2,22,300,322,404,70","14643,14644,13739,13740,14859,882,894,1785,1786"
Main Street Station,station,9,7,0.0009600877794541215,0.0453294615618028,0.148583567974848,10,"113,135,2,20,23,300,306,506,62,64","14736,14737,14739,14740,14741,13735,13736,13464,15924"
Donlands Station,station,5,6,0.000822932382389247,0.04719639065276275,0.14403705331076358,4,"2,300,51,83","14649,14650,13743,13744,13560"
Keele Station,station,9,7,0.0009600877794541215,0.04558552172243073,0.14379656716114092,8,"189,2,300,341,41,89,941,989","11780,14705,14706,13772,13771,15434,525,565,15431"
Wilson Station,station,12,13,0.0017830201618433683,0.052065039680659585,0.14307246710709035,13,"1,101,104,118,119,120,160,165,184,29,329,929,996","14799,14801,14802,14803,14817,14820,13840,15317,15463,15465,15466,11879"
