hub_name,station_cluster_name,betweenness,closeness,degree_centrality,platform_stop_count,route_count,routes_serving_filtered_graph,max_pax_per_vehicle_hour_2024,bus_delay_min_serving_routes,streetcar_delay_min_serving_routes,subway_delay_min,total_delay_min_all_sources
Eglinton Station,Eglinton Station,0.211374,0.054555,0.001646,23,11,"1,103,13,320,334,34,354,5,61,74,97",51.4,374263,318,7421,382002
Bloor Station,Bloor-Yonge Station,0.199386,0.052175,0.001234,6,4,"1,2,300,320",,102970,118,10884,113972
Warden Station,Warden Station,0.184898,0.044807,0.00192,10,12,"102,117,135,16,17,2,68,69,8,9,902,968",84.7,538313,207,5529,544049
Kennedy Station,Kennedy Station,0.179744,0.043798,0.001783,18,25,"113,116,12,129,131,133,154,2,20,201,21,334,34,343,38,386,43,5,57,86,903,904,905,939,986",67.2,929198,552,8894,938644
St George Station,St George Station,0.161342,0.051757,0.000686,5,4,"1,2,26,300",28.3,115391,194,8738,124323
Keele Station,Keele Station,0.143797,0.045586,0.00096,9,8,"189,2,300,341,41,89,941,989",65.6,537804,79,3120,541003
Wilson Station,Wilson Station,0.143072,0.052065,0.001783,12,13,"1,101,104,118,119,120,160,165,184,29,329,929,996",84.2,393348,101,5827,399276
Dufferin Station,Dufferin Station,0.134289,0.047468,0.001646,7,6,"2,29,300,329,402,929",84.2,255867,73,2488,258428
Bathurst Station,Bathurst Station,0.132038,0.050493,0.001097,7,6,"2,300,307,311,511,7",76.2,164287,49164,2069,215520
Mount Dennis Station,Mount Dennis Station,0.11323,0.047992,0.001783,17,13,"161,164,168,171,27,32,334,34,35,5,71,89,989",63.8,750612,269,0,750881
Finch Station,Finch Station,0.112689,0.048613,0.00192,20,14,"1,125,320,336,339,36,39,42,53,60,939,953,960,97",81.0,734508,203,6579,741290
Sheppard West Station,Sheppard West Station,0.092643,0.049958,0.001372,13,10,"1,104,105,106,107,108,329,384,84,984",80.6,322669,69,8410,331148
Kipling Station,Kipling Station,0.091373,0.038254,0.002469,16,14,"111,112,123,149,2,40,44,45,46,49,900,927,944,945",72.1,261477,141,6548,268166
Glencairn Station,Glencairn Station,0.074585,0.052539,0.000823,3,2,"1,14",42.9,43449,157,1396,45002
Scarborough Centre Station,Scarborough Centre Station,0.06644,0.041317,0.001097,9,16,"129,130,131,132,133,134,16,169,21,38,406,9,903,904,939,996",84.7,474153,80,0,474233
Leslie Station,Leslie Station,0.064895,0.048638,0.001372,11,5,"151,185,385,4,51",31.1,98313,402,1338,100053
McCowan Station,McCowan Rt Station,0.02552,0.039819,0.001372,6,10,"129,130,131,132,134,16,169,316,406,9",84.7,322214,67,8816,331097
Pioneer Village Station,Pioneer Village Station,0.023622,0.044764,0.00192,12,12,"1,106,108,166,335,341,35,353,41,60,935,960",81.0,782680,106,0,782786
Union Station,Union Station,0.022284,0.042079,0.001097,9,9,"1,114,121,19,202,309,310,320,509",86.1,242137,33805,3692,279634
