stop_name,entity_type,platform_stop_count,graph_degree,Degree,Closeness,Betweenness,route_count,routes_serving,member_stop_ids,hub_display_name,station_cluster_name
Eglinton Station,station_hub,23,12,0.001645864764778494,0.05455462156996608,0.21137421204563628,11,"1,103,13,320,334,34,354,5,61,74,97","8977,8980,8981,14669,14670,14672,14673,14674,14675,13795,13796,14954,16073,16074,1674,2342,8958,9898,13898,14950,15708,15709,16331",Eglinton Station,Eglinton Station
Bloor Station,station_hub,6,9,0.0012343985735838703,0.052174758713188066,0.1993856077620324,4,"1,2,300,320","3213,3214,13864,13756,13755,11116",Bloor Station,Bloor-Yonge Station
Warden Station,station_hub,10,14,0.001920175558908243,0.04480656024224885,0.18489772374900523,12,"102,117,135,16,17,2,68,69,8,9,902,968","13732,13731,16636,16639,16640,16642,16643,16638,14055,15820",Warden Station,Warden Station
Kennedy Station,station_hub,18,13,0.0017830201618433683,0.04379771437094932,0.17974408335728903,25,"113,116,12,129,131,133,154,2,20,201,21,334,34,343,38,386,43,5,57,86,903,904,905,939,986","14708,14709,14710,14711,14947,13865,16381,16390,16391,16392,16393,16394,16453,16081,16082,1038,12198,16339",Kennedy Station,Kennedy Station
St George Station,station_hub,5,5,0.0006857769853243725,0.05175739625841204,0.16134200534559745,4,"1,2,26,300","14784,13858,13856,13855,495",St George Station,St George Station
Keele Station,station_hub,9,7,0.0009600877794541215,0.04558552172243073,0.14379656716114092,8,"189,2,300,341,41,89,941,989","11780,14705,14706,13772,13771,15434,525,565,15431",Keele Station,Keele Station
Wilson Station,station_hub,12,13,0.0017830201618433683,0.052065039680659585,0.14307246710709035,13,"1,101,104,118,119,120,160,165,184,29,329,929,996","14799,14801,14802,14803,14817,14820,13840,15317,15463,15465,15466,11879",Wilson Station,Wilson Station
Dufferin Station,station_hub,7,12,0.001645864764778494,0.04746754052961124,0.13428871871103332,6,"2,29,300,329,402,929","2020,2013,13765,13766,505,520,16006",Dufferin Station,Dufferin Station
Bathurst Station,station_hub,7,8,0.001097243176518996,0.05049289283079304,0.1320382193374462,6,"2,300,307,311,511,7","14617,14619,13760,13759,96,491,15518",Bathurst Station,Bathurst Station
Mount Dennis Station,station_hub,17,13,0.0017830201618433683,0.04799206794703202,0.11322992874761241,13,"161,164,168,171,27,32,334,34,35,5,71,89,989","16067,16068,16585,16586,16587,16588,16589,16591,16592,16593,16594,16595,16596,16598,16329,16746,16747",Mount Dennis Station,Mount Dennis Station
Finch Station,station_hub,20,14,0.001920175558908243,0.048612906471437976,0.11268942034202044,14,"1,125,320,336,339,36,39,42,53,60,939,953,960,97","9132,8989,3212,9131,14683,14684,14685,14686,14687,14689,14690,14692,14111,14944,14955,3595,8988,9003,9130,15282",Finch Station,Finch Station
Sheppard West Station,station_hub,13,10,0.001371553970648745,0.0499578247365826,0.09264298106163278,10,"1,104,105,106,107,108,329,384,84,984","7275,14651,14652,14654,14655,14657,14660,14945,14653,1647,3172,4598,15435",Sheppard West Station,Sheppard West Station
Kipling Station,station_hub,16,18,0.0024687971471677407,0.03825377564664179,0.09137277669812095,14,"111,112,123,149,2,40,44,45,46,49,900,927,944,945","14716,14717,14718,14719,14720,14721,14722,14723,14724,13785,14948,15052,4618,4699,12130,16241",Kipling Station,Kipling Station
Glencairn Station,station_hub,3,6,0.000822932382389247,0.05253930114327791,0.07458543075866346,2,"1,14","3665,3666,13833",Glencairn Station,Glencairn Station
Scarborough Centre Station,station_hub,9,8,0.001097243176518996,0.041317134977887165,0.06643964178546717,16,"129,130,131,132,133,134,16,169,21,38,406,9,903,904,939,996","14758,14759,14760,14761,14766,14768,14769,15002,16333",Scarborough Centre Station,Scarborough Centre Station
Leslie Station,station_hub,11,10,0.001371553970648745,0.04863759329667839,0.06489544462888808,5,"151,185,385,4,51","7242,7204,14620,14621,13848,13847,5476,7203,9166,9167,13691",Leslie Station,Leslie Station
McCowan Station,station_hub,6,10,0.001371553970648745,0.03981863054197006,0.025519935835134934,10,"129,130,131,132,134,16,169,316,406,9","9609,9610,9623,16645,16646,16709",McCowan Station,McCowan Rt Station
Pioneer Village Station,station_hub,12,14,0.001920175558908243,0.04476357504209024,0.023621513134599023,12,"1,106,108,166,335,341,35,353,41,60,935,960","15656,15571,15574,15575,15577,15578,15579,15580,15581,1601,1602,7766",Pioneer Village Station,Pioneer Village Station
Union Station,station_hub,9,8,0.001097243176518996,0.042079308010580775,0.022283553446105546,9,"1,114,121,19,202,309,310,320,509","246,247,10935,13815,16754,1069,1671,12425,13455",Union Station,Union Station
