display_name,entity_type,Degree,Closeness,Betweenness,route_count,platform_stop_count
York Mills Station,station,0.0023316417501028663,0.05363132952848297,0.2622547852916456,13,19
Lawrence Station,station,0.0015087093677136195,0.05431566294011994,0.22701200916102487,8,12
Victoria Park Station,station,0.0015087093677136195,0.04580958065661588,0.21241369586337033,8,8
Eglinton Station,station,0.001645864764778494,0.05455462156996608,0.21137421204563628,11,23
Bloor-Yonge Station,station,0.0012343985735838703,0.052174758713188066,0.1993856077620324,4,6
Warden Station,station,0.001920175558908243,0.04480656024224885,0.18489772374900523,12,10
Spadina Station,station,0.0012343985735838703,0.05195763544447907,0.18326572669977545,6,9
Broadview Station,station,0.0012343985735838703,0.04994582701556419,0.1808981669885836,13,12
Kennedy Station,station,0.0017830201618433683,0.04379771437094932,0.17974408335728903,25,18
Cedarvale Station,station,0.0015087093677136195,0.053136852945514824,0.17533962481755688,7,9
Castle Frank Station,station,0.0006857769853243725,0.050576040755369533,0.1732620517811898,4,5
Sherbourne Station,station,0.000822932382389247,0.05129599961659662,0.17254880183113908,3,5
St George Station,station,0.0006857769853243725,0.05175739625841204,0.16134200534559745,4,5
Sheppard-Yonge Station,station,0.0012343985735838703,0.0519702482318011,0.1562129769030272,8,12
Pape Station,station,0.001097243176518996,0.04802753341995061,0.15446087243405796,4,7
Bay Station,station,0.0009600877794541215,0.051924278186641186,0.15010807520608074,3,5
Chester Station,station,0.000548621588259498,0.04891903020621581,0.1496375198753043,2,3
Coxwell Station,station,0.001097243176518996,0.045727563025934434,0.14921278231527432,6,9
Main Street Station,station,0.0009600877794541215,0.0453294615618028,0.148583567974848,10,9
Donlands Station,station,0.000822932382389247,0.04719639065276275,0.14403705331076358,4,5
Keele Station,station,0.0009600877794541215,0.04558552172243073,0.14379656716114092,8,9
Wilson Station,station,0.0017830201618433683,0.052065039680659585,0.14307246710709035,13,12
Greenwood Station,station,0.0006857769853243725,0.04641156964978892,0.14234045504515971,3,6
Woodbine Station,station,0.001097243176518996,0.045122087662841676,0.14156152369059974,5,6
Jane Station,station,0.0012343985735838703,0.042292748460834896,0.13965899213489227,8,9
