route_short_name,stop_count,trip_count
385,163,2
395,146,2
325,143,2
307,142,2
352,142,2
334,133,2
316,132,2
396,131,2
354,131,2
320,126,2
54,122,2
96,121,2
337,120,2
324,119,2
306,117,2
34,115,2
335,111,2
7,111,2
341,110,2
329,110,2
41,110,2
46,109,2
42,108,2
336,108,2
24,108,2
301,107,2
53,104,2
112,104,2
384,104,2
304,99,2
35,95,2
85,94,2
45,93,2
68,92,2
98,90,2
97,89,2
60,89,2
89,88,2
9,88,2
37,87,2
300,87,2
73,87,2
21,86,2
353,85,2
8,85,2
57,84,2
160,83,2
52,83,2
315,82,2
305,82,2
72,80,2
960,79,2
26,77,2
404,75,2
20,75,2
322,74,2
954,74,2
79,74,2
95,73,2
118,73,2
12,71,2
40,71,2
165,70,2
25,70,2
91,70,2
363,70,2
953,69,2
11,69,2
38,68,2
169,66,2
116,66,2
15,66,2
386,65,2
62,63,2
87,63,2
16,63,2
59,63,2
2,62,2
996,61,2
71,61,2
501,61,2
39,60,2
107,60,2
506,59,2
339,59,2
48,58,2
129,58,2
405,58,2
102,57,2
51,57,2
67,57,2
14,57,2
47,57,2
154,56,2
937,56,2
29,55,2
101,55,2
104,55,2
100,55,2
134,54,2
70,54,2
120,53,2
110,53,2
108,53,2
507,52,2
512,52,2
945,51,2
902,50,2
504,50,2
343,50,2
927,50,2
43,50,2
5,50,2
503,49,2
127,49,2
130,49,2
505,49,2
167,49,2
94,48,2
17,48,2
995,48,2
115,48,2
122,47,2
133,47,2
161,46,2
119,46,2
106,46,2
402,45,2
61,44,2
86,44,2
80,44,2
162,44,2
403,44,2
1,44,2
340,43,2
131,43,2
36,43,2
13,43,2
168,43,2
123,42,2
84,42,2
929,42,2
19,42,2
166,41,2
135,41,2
158,41,2
113,40,2
151,40,2
50,39,2
952,39,2
132,38,2
989,38,2
986,38,2
18,37,2
114,37,2
164,37,2
27,36,2
117,36,2
935,36,2
830,36,2
32,36,2
103,36,2
31,36,2
189,35,2
111,35,2
185,35,2
74,34,2
156,34,2
191,34,2
400,34,2
310,33,2
65,33,2
906,32,2
365,32,2
406,32,2
311,32,2
69,32,2
83,31,2
6,31,2
941,31,2
202,31,2
121,30,2
904,30,2
939,30,2
75,30,2
49,30,2
201,29,2
90,29,2
44,29,2
924,28,2
76,28,2
33,28,2
200,28,2
88,27,2
28,26,2
126,26,2
985,26,2
66,26,2
77,26,2
124,25,2
905,25,2
925,25,2
511,24,2
149,24,2
93,24,2
23,24,2
105,23,2
968,22,2
99,22,2
55,22,2
78,22,2
312,21,2
22,21,2
82,21,2
64,20,2
92,19,2
109,18,2
63,18,2
10,17,2
125,17,2
509,17,2
309,17,2
184,17,2
30,16,2
984,16,2
510,14,2
944,14,2
171,12,2
903,10,2
4,7,2
203,7,2
900,4,2
