stop_id,graph_degree,Degree,Closeness,Betweenness,in_largest_component,stop_name,stop_lat,stop_lon,station_cluster,is_station,route_count,routes_serving,is_major_hub_cluster,max_pax_per_vehicle_hour_2024_serving_route
7395,1,0.00012414649286157667,0.03389196744077966,0.0,True,Van Horne Ave at Victoria Park Ave,43.789053,-79.330117,,False,1,10,False,52.0
7421,4,0.0004965859714463067,0.0350816935392395,0.002590917951444921,True,Victoria Park Ave at Pleasant View Dr,43.785815,-79.328126,,False,2,"10,24",False,66.7
6764,2,0.00024829298572315333,0.033896681006716715,0.002343587432448149,True,140 Pleasant View Dr,43.785195,-79.330497,,False,1,10,False,52.0
6766,2,0.00024829298572315333,0.03278937625319003,0.0022205843697877727,True,Pleasant View Dr at Brian Dr,43.784614,-79.333107,,False,1,10,False,52.0
6265,2,0.00024829298572315333,0.03175877272637932,0.00013161717145597387,True,Brian Ave at Margaret Ave,43.78653,-79.334248,,False,1,10,False,52.0
6266,2,0.00024829298572315333,0.030827093444306758,0.00010158607005733821,True,Brian Ave at Van Horne Ave,43.787739,-79.334818,,False,1,10,False,52.0
7394,2,0.00024829298572315333,0.031209516391578686,0.00013207752401335682,True,Van Horne Ave at Lucifer Dr,43.787545,-79.337482,,False,1,10,False,52.0
7386,2,0.00024829298572315333,0.031645313282815786,0.00019716989653060978,True,Van Horne Ave at Edmonton Dr,43.787002,-79.339917,,False,1,10,False,52.0
7392,2,0.00024829298572315333,0.03232173214036916,0.00028474385169830824,True,Van Horne Ave at Kingslake Rd,43.786603,-79.345148,,False,1,10,False,52.0
7389,2,0.00024829298572315333,0.033245721705288986,0.0003988374596871761,True,Van Horne Ave at Houston Cres (West) West Side,43.787804,-79.347779,,False,1,10,False,52.0
7388,2,0.00024829298572315333,0.03438224619125351,0.0005213244125978202,True,Van Horne Ave at Hobart Dr,43.788065,-79.349482,,False,1,10,False,52.0
16485,3,0.00037243947858473,0.035603008610911265,0.0010115405393984606,True,Don Mills Rd at Van Horne Ave South Side,43.786746,-79.353082,,False,3,"10,25,325",False,56.8
16758,2,0.00024829298572315333,0.036828123929218165,0.001074895630627902,True,Don Mills Rd at Walkway to O'Shea Crescent,43.785204,-79.353606,,False,3,"10,25,325",False,56.8
1939,2,0.00024829298572315333,0.03822103115121009,0.0011962514786537303,True,Don Mills Rd at Goodview Rd,43.783994,-79.35303,,False,3,"10,25,325",False,56.8
13422,2,0.00024829298572315333,0.03973404177073398,0.0013193207609979096,True,2980 Don Mills Rd,43.78231,-79.352329,,False,3,"10,25,325",False,56.8
1928,4,0.0004965859714463067,0.04137220286037336,0.0014426549220772922,True,Don Mills Rd at Esterbrooke Ave,43.779239,-79.348996,,False,3,"10,25,325",False,56.8
15330,16,0.0019863438857852266,0.0431510175826953,0.0007825703217289868,True,Don Mills Station,43.775799,-79.346887,Don Mills Station,True,1,10,False,52.0
11229,2,0.00024829298572315333,0.03792027679605542,8.294048572270773e-08,True,Concorde Pl at Concorde Pl Cul De Sac,43.730036,-79.328253,,False,1,100,False,47.9
11230,2,0.00024829298572315333,0.03791991923468915,1.6637695555003727e-06,True,Concorde Pl at Concorde Gate South Side,43.729085,-79.328506,,False,1,100,False,47.9
11260,3,0.00037243947858473,0.03941432042689632,0.0001831711951652354,True,Concorde Pl at McDonald's Pl,43.727944,-79.328295,,False,1,100,False,47.9
4731,2,0.00024829298572315333,0.04102945706919218,0.0002998973790170058,True,Wynford Dr at Wynford Heights Cres South Side,43.726234,-79.327495,,False,1,100,False,47.9
16664,7,0.0008690254500310367,0.042783076514129326,0.00042368680042251835,True,Wynford Dr at Eglinton Ave East Access Ramp,43.725277,-79.326222,Wynford Station,False,1,100,False,47.9
11338,7,0.0008690254500310367,0.042785124792664046,0.001145872011402688,True,195-205-215 Wynford Dr,43.723798,-79.324911,Wynford Station,False,1,100,False,47.9
4728,2,0.00024829298572315333,0.04103908721770013,0.0010266966424510623,True,St Dennis Dr at Linkwood Lane,43.719618,-79.327989,,False,1,100,False,47.9
3475,4,0.0004965859714463067,0.039976760851692626,0.001010138025915529,True,Deauville Lane at St Dennis Dr South Side,43.717713,-79.331085,,False,2,"100,403",False,47.9
3474,2,0.00024829298572315333,0.03878071750928771,0.000607185045114799,True,Deauville Lane at Grenoble Dr South Side,43.716123,-79.33018,,False,1,100,False,47.9
3693,2,0.00024829298572315333,0.038727685581607094,5.445042887695762e-05,True,Grenoble Dr at Vendome Pl,43.715497,-79.328232,,False,1,100,False,47.9
9141,2,0.00024829298572315333,0.039456278118156565,0.001569331799517268,True,Grenoble Dr at Spanbridge Rd,43.713142,-79.326922,,False,1,100,False,47.9
3634,4,0.0004965859714463067,0.04066888712670271,0.0017901822692612018,True,Gateway Blvd South Side at Sunny Glenway East Side,43.71162,-79.330353,,False,3,"100,403,72",False,61.1
9508,2,0.00024829298572315333,0.04002410735428876,0.00034701309485817266,True,Gateway Blvd at Sunny Glenway (West) West Side,43.710687,-79.331693,,False,3,"100,403,72",False,61.1
3689,2,0.00024829298572315333,0.041682453108037164,0.0004245734005044812,True,Gateway Blvd at Don Mills Rd,43.710173,-79.334116,,False,3,"100,403,72",False,61.1
