rank,station_name,pagerank_score,matched_nodes,degree_centrality,closeness,betweenness,platform_stop_count
1,Mount Dennis Station,0.0038876155706896085,34,0.0017925430210325,0.0413735245109012,0.029581290035922,15
2,Scarborough Centre Station,0.002980020075257133,27,0.0022705544933078,0.0392896149140048,0.0505933473436745,14
3,Eglinton Station,0.002514067239251126,24,0.0016730401529636,0.0467592114610025,0.0598426444529609,260
4,Wilson Station,0.0020492202632416143,12,0.0020315487571701,0.0463086817934892,0.1386916888632419,108
5,Dufferin Station,0.0020150087838903255,20,0.000717017208413,0.0446994547286016,0.1031570343547726,124
6,St George Station,0.001858381038156301,18,0.0005975143403441,0.0467054917468749,0.1220975096753689,7
7,Sheppard West Station,0.0017769548878077733,20,0.0015535372848948,0.0439195104071463,0.1422567324321063,12
8,Finch Station,0.0016279942588123312,13,0.0017925430210325,0.0432370846285842,0.0760184802161986,304
9,Glencairn Station,0.0016109381982364773,18,0.0004780114722753,0.045523012876442,0.0820949779116555,29
10,Pioneer Village Station,0.0015543698740109074,15,0.0011950286806883,0.0390717086948906,0.0482062212997903,9
