stop_id,name,degree,in_degree,out_degree,pagerank,betweenness
1,Millwood Rd at McRae Dr South Side,3,1,2,0.00011860368625849296,0.0024958173826740396
2,Bathurst St at Horsham Ave,2,1,1,0.00014359161809995635,0.018313918641970534
3,Royal York Rd at King Georges Rd,3,1,2,0.00015445408739227207,0.0037255866298029207
4,Finch Ave West at Driftwood Ave,2,1,1,5.8710433548598476e-05,0.005083294089647769
5,Lawrence Ave East at Wanless Cres (West),2,1,1,0.00012036686200321583,0.007182993305786799
7,Kennedy Rd at Huntingwood Dr,2,1,1,8.639207360588614e-05,0.0013270948532539345
8,Shorncliffe Ave at Newbridge Rd South Side,2,1,1,9.62014612892222e-05,0.0017940528208499286
9,Warden Ave at Tower Dr,2,1,1,5.342031769312501e-05,0.00020416843896214378
10,Thirtieth St at Alhena Ave,0,0,0,1.6624756858750544e-05,0.0
11,Birchmount Rd at Harvest Moon Dr,2,1,1,5.513928917733201e-05,0.002654189706507869
12,Brown's Line at Woodbury Rd,2,1,1,0.0001809125663542051,0.01690841479872743
13,Pharmacy Ave at Huntingwood Dr,2,1,1,0.00011079414517781427,0.00020416843896214378
14,Pharmacy Ave at Rosscowan Gate South Side,2,1,1,0.00011079414517781427,0.00030625265844321566
16,Underhill Dr at Broadlands Blvd,2,1,1,0.00020701131688127602,0.020842143713368726
17,St Clair Ave East at Santamonica Blvd,6,4,2,0.00011180488156136125,0.021868477952644263
18,Driftwood Ave at Finch Ave West,2,1,1,0.00010153064172912908,0.0007071458953636751
19,Rexdale Blvd at Martin Grove Rd,2,1,1,6.946574205428632e-05,0.0012844268396427054
20,Willowdale Ave at Northwood Dr,2,1,1,0.00010743295627786147,0.0008262441514249256
21,Dovercourt Rd at Geary Ave North Side,2,1,1,0.00013910394999665219,0.008622555843419305
22,Drewry Ave at Marthon Cres (East),2,1,1,0.00011079414517781427,0.0008166737558485751
23,Post Rd at Bayview Ave East Side,2,1,1,0.00012516090626692655,0.004066126876101355
24,Queens Quay West at Rees St West Side,3,1,2,8.680712856709222e-05,0.005417451540377955
25,Albion Rd at Finch Ave West,2,1,1,9.397194916326089e-05,0.0032512760527435135
26,Middlefield Rd at Passmore Ave,2,1,1,4.49984663092269e-05,0.0018050829434283285
28,Eglinton Ave East at Laird Dr East Side,3,2,1,0.0002577581414616398,0.028010364546488933
29,Lesmill Rd at Valleybrook Dr West Side,2,1,1,6.458285982555482e-05,0.0071533390046788605
30,Huntingwood Dr at Garrybrook Dr,2,1,1,0.00011079414517781427,0.0018828867148731035
31,Davenport Rd at Osler St,2,1,1,0.00019866051088118485,0.015482088694920867
32,Yonge Blvd at Dunster Ave North Side,2,1,1,0.00010396928017144294,0.00010208421948107189
33,185 Graydon Hall Dr,2,1,1,9.783781948887477e-05,0.006336665248830285
34,Eglinton Ave East at Beachell St,2,1,1,4.469033407175352e-05,0.0
35,Keele St at Greenbrook Dr South Side,3,2,1,0.00013904681435803008,0.005440538082039977
36,College St at Elizabeth St,2,1,1,0.00011079414517781427,0.003438963794975575
37,Le Page Crt at Keele St East Side,2,1,1,2.795057934589748e-05,0.0008365955004276378
40,Jones Ave at Baird Ave,2,1,1,0.00010680204091327553,0.0007512760527435134
42,Dufferin St at Gordon St,2,1,1,5.022746267744717e-05,0.004737877498936622
44,Evans Ave at Gair Dr,2,1,1,0.00018397129154248978,0.010256003020643802
45,Longbourne Dr at Redgrave Dr,2,1,1,8.698746981169122e-05,0.001501355806039983
46,Huntingwood Rd at Ridgecrest Dr,2,1,1,0.00011192186619038731,0.0018266122435624773
48,Elmhurst Dr at Muncey Ave,2,1,1,2.7696046299631e-05,0.0
