stop_id,name,degree,in_degree,out_degree,pagerank,betweenness
1,Millwood Rd at McRae Dr South Side,3,1,2,9.105328771675324e-05,0.0020949601260235673
2,Bathurst St at Horsham Ave,2,1,1,0.0001139711945084793,0.013691997602567571
3,Royal York Rd at King Georges Rd,3,1,2,0.00015281515565130485,0.006517636555366511
4,Finch Ave West at Driftwood Ave,2,1,1,6.657136859804622e-05,0.005930095027261127
5,Lawrence Ave East at Wanless Cres (West),2,1,1,0.00011393582691955552,0.013648473968058725
7,Kennedy Rd at Huntingwood Dr,2,1,1,0.00010345961402003626,0.0013270948532539345
8,Shorncliffe Ave at Newbridge Rd South Side,2,1,1,8.886363310428374e-05,0.006539185452998723
9,Warden Ave at Tower Dr,2,1,1,0.0001093932993472657,0.00020416843896214378
10,Thirtieth St at Alhena Ave,0,0,0,1.6598932385570904e-05,0.0
11,Birchmount Rd at Harvest Moon Dr,2,1,1,3.675930382005701e-05,0.002654189706507869
12,Brown's Line at Woodbury Rd,2,1,1,0.00018394891014003137,0.007280867933994263
13,Pharmacy Ave at Huntingwood Dr,2,1,1,0.00011062853171393727,0.00020416843896214378
14,Pharmacy Ave at Rosscowan Gate South Side,2,1,1,0.00011062853171393727,0.00030625265844321566
16,Underhill Dr at Broadlands Blvd,2,1,1,5.3290559772812806e-05,0.033702655421954594
17,St Clair Ave East at Santamonica Blvd,6,4,2,0.00033515102615276995,0.016371259190617975
18,Driftwood Ave at Finch Ave West,2,1,1,9.78004947731511e-05,0.000715209839784489
19,Rexdale Blvd at Martin Grove Rd,2,1,1,9.486557921939062e-05,0.001380835282858358
20,Willowdale Ave at Northwood Dr,2,1,1,0.00010266782116141745,0.00040860272224585285
21,Dovercourt Rd at Geary Ave North Side,2,1,1,0.00010158907500214237,0.001364844746916206
22,Drewry Ave at Marthon Cres (East),2,1,1,0.00011062853171393727,0.005549234368353892
23,Post Rd at Bayview Ave East Side,2,1,1,3.347715945696602e-05,0.00561336606058267
24,Queens Quay West at Rees St West Side,3,1,2,0.00011536187927680246,0.000704791274229811
25,Albion Rd at Finch Ave West,2,1,1,9.903330287779627e-05,0.003256061250531689
26,Middlefield Rd at Passmore Ave,2,1,1,9.575898524541692e-05,0.011162803062526585
28,Eglinton Ave East at Laird Dr East Side,3,2,1,0.00024130992757557084,0.03584355987057514
29,Lesmill Rd at Valleybrook Dr West Side,2,1,1,5.5882322871947356e-05,0.002400574223734581
30,Huntingwood Dr at Garrybrook Dr,2,1,1,0.00011062853171393727,0.0007287679001843186
31,Davenport Rd at Osler St,2,1,1,0.00016721739481733583,0.02482597142022206
32,Yonge Blvd at Dunster Ave North Side,2,1,1,6.83742548186398e-05,0.00010208421948107189
33,185 Graydon Hall Dr,2,1,1,9.552870399822319e-05,0.001583900467886006
34,Eglinton Ave East at Beachell St,2,1,1,0.00014528581404898853,0.0
35,Keele St at Greenbrook Dr South Side,3,2,1,0.00016745755735394653,0.01116720924859827
36,College St at Elizabeth St,2,1,1,0.00011062853171393727,0.008948898853772818
37,Le Page Crt at Keele St East Side,2,1,1,5.004076265446009e-05,0.0006352261449028786
40,Jones Ave at Baird Ave,2,1,1,9.499638182768248e-05,0.00062048064653339
42,Dufferin St at Gordon St,2,1,1,9.030797671560382e-05,0.0
44,Evans Ave at Gair Dr,2,1,1,0.00021360640168648106,0.0023027435133985536
45,Longbourne Dr at Redgrave Dr,2,1,1,0.00010817466164523372,0.0014659985112717992
46,Huntingwood Rd at Ridgecrest Dr,2,1,1,8.685431867460301e-05,0.0018630985694777138
48,Elmhurst Dr at Muncey Ave,2,1,1,0.00012075149501510106,0.0
50,Islington Ave at Norseman St,2,1,1,0.00014123569107736512,0.010131327094853253
51,McNicoll Ave at Midland Ave,2,1,1,0.00011707298878290816,0.010281263292216078
52,Wilson Heights Blvd at Clifton Ave,2,1,1,8.926233227650931e-05,0.0011248759393166028
53,Progress Ave at Estate Dr (West),2,1,1,9.78299646791085e-05,0.00020416843896214378
54,Steeles Ave East at Midland Ave,4,2,2,0.00011030851487056815,0.006439635616049908
56,Bayview Ave at Hillcrest Ave,2,1,1,0.00011062853171393727,0.007372588066973435
57,Willowridge Rd at Richgrove Dr,2,1,1,0.00010885233952283147,0.0012618300723096555
58,Victoria Park Ave at Furnival Rd,2,1,1,0.00010873895867337963,0.00010208421948107189
60,299 Norfinch Dr,2,1,1,0.00010231508502637885,0.0009732737842053029
61,Kipling Ave at Hayhurst Rd,2,1,1,0.00014704428303294282,0.00020416843896214378
62,Moore Ave at Orchard Green,2,1,1,9.172541035083249e-05,0.0026045109983593613
63,Islington Ave at Finch Ave West South Side,3,2,1,0.00011273164950208124,0.004643591379554799
64,105 Ironside Cres,2,1,1,4.8391168755441714e-05,0.00040833687792428755
65,Martin Grove Rd at Finch Ave West,2,1,1,9.327064514770997e-05,0.002974618513398554
66,Sheppard Ave West at Yatescastle Dr,2,1,1,0.00010418100244745073,0.00010208421948107189
68,King St West at Jameson Ave,2,1,1,7.796079468976131e-05,0.0020950895599981096
69,Bayview Ave at Wilket Rd,2,1,1,8.86032746400685e-05,0.014059568116910738
71,Trethewey Dr at Brookhaven Dr,2,1,1,9.303914899505843e-05,0.00020416843896214378
72,Hullmar Dr at Hisey Cres (South) North Side,2,1,1,9.220400488005372e-05,0.0002613072451439104
73,Davisville Ave at Forman Ave,2,1,1,0.00012643804681222284,0.014623183804417107
74,Warden Ave at Murray Glen Dr,2,1,1,0.00010110019629425222,0.00030625265844321566
76,Calvington Dr at Keele St West Side,2,1,1,4.0815225862528084e-05,0.0031095633063944425
77,Main St Markham North at Bullock Dr,2,1,1,0.00011062853171393727,0.0010208421948107189
79,Moore Ave at Brendan Rd,2,1,1,9.311939343078669e-05,0.003402255177829402
80,Pharmacy Ave at Princeway Dr,2,1,1,0.00011062853171393727,0.0010208421948107189
81,Oakwood Ave at Highview Cres,2,1,1,0.00015776449662877767,0.013024636577072148
83,Weston Rd at Coral Gable Dr,3,1,2,0.00011912906168224163,0.002597407891272205
84,Bathurst St at Fort York Blvd,4,2,2,0.00014171377739822963,0.004075386377280368
85,McNicoll Ave at Warden Ave,2,1,1,0.0001261571725362405,0.0016200552956188857
86,Queen St East at Ontario St,2,1,1,0.00010536388460563305,0.00819850184691002
87,South Dr at Glen Rd,2,1,1,0.00011062853171393727,0.0
88,Albion Rd at Martin Grove Rd East Side,2,1,1,0.00011062853171393727,0.005544980859208848
89,Glencairn Ave at Danesbury Ave,2,1,1,9.519301843753414e-05,0.0036437085538531732
90,84 Davisville Ave - Salvation Army,2,1,1,0.00013160959534548418,0.006584014401166678
91,Sheppard Ave East at Greenbriar Rd,2,1,1,0.00010716686408336918,0.007412504416201751
92,Bellamy Rd North at Banmoor Blvd North Side,2,1,1,7.474674835835233e-05,0.0013270948532539345
93,McLevin Ave at Greenspire Rd,2,1,1,0.00012120446182312396,0.006793106315915759
94,York Mills Rd at Harrison Rd,2,1,1,0.0001386227824240103,0.00010208421948107189
95,Warden Ave at Denison St North Side,2,1,1,6.76850712888147e-05,0.003572947681837516
96,Lawrence Ave West at Scarlett Rd,2,1,1,0.00012055055306897921,0.005286114951084645
98,Sheppard Ave East at Conlins Rd East Side,2,1,1,0.00012086324210599649,0.004068937230357902
99,Royal York Rd at Trehorne Dr,2,1,1,8.396032405934696e-05,0.00868481205688777
100,Avenue Rd at Lonsdale Rd South Side,2,1,1,9.4179503539129e-05,0.003510740110591238
101,601 Milner Ave,2,1,1,9.763510789767923e-05,0.006260102084219481
103,Wynford Dr at Don Mills Rd East Side,3,2,1,0.0001965408899887307,0.007616414408803286
104,Weston Rd at Fern Ave South Side,2,1,1,0.00014407323905826305,0.017368007702548465
105,St Clair Ave East at Victoria Park Ave West Side,2,1,1,9.15520267973317e-05,0.004191540833687792
106,Runnymede Rd at Maher Ave South Side,2,1,1,0.0001487524052723535,0.008088579327945555
107,Rathburn Rd at Pheasant Lane,2,1,1,9.146658402904109e-05,0.0005605770594073444
108,McNicoll Ave at Markham Rd,0,0,0,1.6598932385570904e-05,0.0
110,Bay St at Dundas St West,2,1,1,0.00010595515294911878,0.008330046110504934
111,Dundas St West at Sterling Rd,3,1,2,0.00019307585324789486,0.012127030469191759
112,Church St at Weston Rd,2,1,1,9.612971973368021e-05,0.0
114,Royal York Rd at Darlingbrook Cres South Side,2,1,1,0.00014093860761627946,0.004134410888983411
115,Heathrow Dr at Chesham Dr,2,1,1,6.360503913128908e-05,0.0006720544449170566
116,Horner Ave at Alderbrae Ave,2,1,1,0.00010349149397395139,0.0002065610378562314
117,St Clair Ave East at Glen Eden Cres,3,2,1,0.0001764749603064223,0.0041528870693322
119,Kingston Rd at Eastwood Ave,2,1,1,0.00019305118730470112,0.0012446755180166493
120,Markham Rd at Edward Jeffreys Ave,2,1,1,0.00011062853171393727,0.0029604423649510847
121,Leslie St at Commissioners St North Side,2,1,1,8.542892648902422e-05,0.004966104849000425
122,Brimley Rd at Larkhall Ave North Side,2,1,1,8.774908870604688e-05,0.0008166737558485751
123,Brimley Rd at Progress Ave,2,1,1,4.396400788452799e-05,0.0021437686091025096
125,St Regis Cres at St Regis Cres North West Side,2,1,1,4.6362795383122525e-05,0.001106038970245691
126,Canarctic Dr at Keele St,2,1,1,7.02498256299086e-05,0.0003913228413441089
127,McCowan Rd at McNicoll Ave,2,1,1,0.00013234331302313884,0.014917952047281111
128,Kennedy Rd at Village Green Sq,2,1,1,0.00011062853171393727,0.00010208421948107189
129,Prince Edward Dr South at Meadowvale Dr,2,1,1,0.0001356304472477114,0.01816567418119949
130,Elmhurst Dr at Henley Cres West Side,2,1,1,9.982441348904507e-05,0.0
131,McNicoll Ave at Brahms Ave,2,1,1,0.00011031896257685723,0.005111920459378988
132,Foxwell St at Bruton Rd East Side,2,1,1,0.0001287174287906491,0.0015022676727096229
133,Burnhamthorpe Rd at Old Burnhamthorpe Rd (East),2,1,1,0.00011233877730984119,0.001831135686941727
134,Claireport Cres (West) at Albion Rd,2,1,1,0.00011062853171393727,0.001939194056201894
135,Danforth Rd at Mack Ave,2,1,1,0.00011637580853494006,0.016577491241405236
136,1216 Lansdowne Ave,2,1,1,0.00011332736517510064,0.004593789876648235
137,Marlee Ave at Ridelle Ave,2,1,1,9.962893804641839e-05,0.00028794737801543415
138,St Clair Ave West at Runnymede Rd West Side,3,2,1,0.00010982077702050705,0.003965572294856228
139,Bay St at Harbour St South Side - Ferry Docks Terminal,2,1,1,0.00016747535179947683,0.008082474155308564
140,Royal York Rd at York View Dr,2,1,1,0.00020349166695955012,0.0044465019183755885
141,Glencairn Ave at Glenmount Ave,2,1,1,6.867450962821437e-05,0.0042562138707396046
142,Opposite 3400 Keele St,2,1,1,0.00011568528878661149,0.00020416843896214378
143,Denton Ave at Madelaine Ave,3,2,1,0.00010920716713455386,0.005512547851977882
144,Davenport Rd at New St,2,1,1,8.689352422875982e-05,0.009350888305315653
145,Cosburn Ave at Donlands Ave West Side,2,1,1,0.0001226221436210021,0.013955338677306934
146,Leslie St at Bannatyne Dr North Side,2,1,1,8.03348463290845e-05,0.005890274655161938
147,Woodsworth Rd at Hopperton Dr (East),2,1,1,9.269023982283947e-05,0.0010208421948107189
148,Tapscott Rd at Newgale Gate,3,2,1,8.997380738369189e-05,0.0007199064227988091
149,Kipling Ave at Goswell Rd,2,1,1,0.00015525109181198057,0.005700787492331277
